name,name_en,service_type,lat,lng,country_code
Singapore Famous BBQ Pork,Singapore Famous BBQ Pork,restaurant,-33.8807768,151.203912,AU
H Pantry,H Pantry,cafe,-33.8947098,151.2333311,AU
Centennial Homestead,Centennial Homestead,restaurant,-33.8945472,151.2335026,AU
Saint Germaine Patisserie,Saint Germaine Patisserie,cafe,-33.894917,151.1980919,AU
Bytes @ ATP,Bytes @ ATP,cafe,-33.8949115,151.1954059,AU
Bobby's Cafe,Bobby's Cafe,cafe,-33.8910956,151.1958472,AU
Woolworths,Woolworths,supermarket,-33.9445458,151.2249659,AU
Randwick Golf Club Restaurant,Randwick Golf Club Restaurant,restaurant,-33.968863,151.2536276,AU
Woolworths Metro,Woolworths Metro,supermarket,-33.9512672,151.2499369,AU
7-Eleven,7-Eleven,fuel,-33.9513111,151.2491504,AU
Pavilion Café,Pavilion Café,cafe,-33.948136,151.2564277,AU
United,United,fuel,-33.9190242,151.242171,AU
Budget Petrol Chippendale,Budget Petrol Chippendale,fuel,-33.887697,151.2017056,AU
Seasalt Cafe,Seasalt Cafe,cafe,-33.9143366,151.2667604,AU
Ashfield Cycles,Ashfield Cycles,bicycle,-33.8874769,151.1223341,AU
Bronte Kiosk,Bronte Kiosk,cafe,-33.9035687,151.2676732,AU
The Papa's Table,The Papa's Table,cafe,-33.8887463,151.1568007,AU
Coles,Coles,supermarket,-33.8770719,151.2071568,AU
Basket Brothers,Basket Brothers,restaurant,-33.8794315,151.2093207,AU
Hydeaway,Hydeaway,cafe,-33.8764921,151.2098636,AU
Kafe Kaz,Kafe Kaz,cafe,-33.8767913,151.20776,AU
Capitol Square Computer Centre,Capitol Square Computer Centre,mall,-33.8794502,151.2055977,AU
Kagui,Kagui,fashion_accessories,-33.8767189,151.2062903,AU
Tamarama Kiosk,Tamarama Kiosk,cafe,-33.9000205,151.2694192,AU
Odessa on Bondi,Odessa on Bondi,restaurant,-33.8933503,151.26066,AU
The BnG Cafe,The BnG Cafe,cafe,-33.8766716,151.1974515,AU
Squire's Landing,Squire's Landing,restaurant,-33.857526,151.2101733,AU
La Mela,La Mela,restaurant,-33.8581837,151.2094296,AU
Harbourfront,Harbourfront,restaurant,-33.8572949,151.2093644,AU
Ploós,Ploós,restaurant,-33.8569286,151.2091434,AU
6 Head,6 Head,restaurant,-33.8567625,151.2090206,AU
Cruise Bar,Cruise Bar,restaurant,-33.8588135,151.209991,AU
Caminetto Restaurant,Caminetto Restaurant,restaurant,-33.8581429,151.2083295,AU
The Dose,The Dose,cafe,-33.8587012,151.20831,AU
Rosetta,Rosetta,restaurant,-33.8623203,151.207161,AU
The Rooftop,The Rooftop,restaurant,-33.8712721,151.2041156,AU
Golden Century Seafood Restaurant,Golden Century Seafood Restaurant,restaurant,-33.8941701,151.2249669,AU
Gosh Coffee,Gosh Coffee,cafe,-33.8941701,151.2250547,AU
Jamaica Blue,Jamaica Blue,cafe,-33.8943205,151.2256439,AU
Bay Swiss Deli,Bay Swiss Deli,cafe,-33.8943581,151.2260952,AU
Arena,Arena,restaurant,-33.8943121,151.2262403,AU
Ablaze Grill & Bar,Ablaze Grill & Bar,restaurant,-33.8942077,151.2261203,AU
Cine,Cine,restaurant,-33.8942578,151.226183,AU
Gloria Jean's,Gloria Jean's,cafe,-33.8946874,151.2269635,AU
Ben Buckler Cellars,Ben Buckler Cellars,alcohol,-33.8895087,151.2836193,AU
Bocca,Bocca,cafe,-33.8896988,151.2833906,AU
Cafe Bondi,Cafe Bondi,cafe,-33.8897106,151.2829192,AU
Glory Days Bondi,Glory Days Bondi,restaurant,-33.8902287,151.2777106,AU
Surfish Cafe,Surfish Cafe,cafe,-33.8902804,151.2774712,AU
Promenade Beach Bar,Promenade Beach Bar,restaurant,-33.890524,151.2766134,AU
Sushi Train,Sushi Train,restaurant,-33.8888348,151.2765847,AU
Nam,Nam,restaurant,-33.8896163,151.2756363,AU
Thainabox Noodle Bar,Thainabox Noodle Bar,cafe,-33.8894042,151.2750825,AU
Papa Roma Pizzeria,Papa Roma Pizzeria,cafe,-33.8893453,151.275,AU
Myoko,Myoko,restaurant,-33.8892039,151.2751178,AU
Skittle Lane,Skittle Lane,cafe,-33.888754,151.2737647,AU
Thai Riffic,Thai Riffic,cafe,-33.8893099,151.2745993,AU
Pompeis Cafe,Pompeis Cafe,cafe,-33.8900313,151.2743943,AU
Too Fatz Cafe,Too Fatz Cafe,cafe,-33.8904295,151.2744108,AU
Cafe Organics,Cafe Organics,cafe,-33.8904943,151.2736416,AU
Gusto Espresso Bar,Gusto Espresso Bar,cafe,-33.8909174,151.2731922,AU
Little Big Shot Cafe,Little Big Shot Cafe,cafe,-33.8904177,151.2729141,AU
Le Paris-Go,Le Paris-Go,cafe,-33.8903823,151.2723691,AU
Getrude & Alice Cafe Bookstore,Getrude & Alice Cafe Bookstore,cafe,-33.8900857,151.2719184,AU
Lorenzini Cafe,Lorenzini Cafe,cafe,-33.8899078,151.272154,AU
Naomi Levi,Naomi Levi,clothes,-33.8899143,151.2716633,AU
Happy Hockers,Happy Hockers,pawnbroker,-33.889632,151.2712351,AU
Fonda,Fonda,restaurant,-33.8894278,151.2713468,AU
Ravesi's,Ravesi's,restaurant,-33.8912691,151.2736505,AU
McCafé,McCafé,cafe,-33.8901441,151.2749982,AU
Gelato Bar Restaurant,Gelato Bar Restaurant,cafe,-33.890948,151.2741751,AU
Spice Namaste,Spice Namaste,cafe,-33.8910423,151.2741044,AU
Doxa Steakhouse & Seafood,Doxa Steakhouse & Seafood,restaurant,-33.8914735,151.2734931,AU
Liberty Lunch Bar,Liberty Lunch Bar,cafe,-33.8916106,151.2735001,AU
Mojito Bar &Grill,Mojito Bar &Grill,restaurant,-33.8916904,151.2734798,AU
