name,name_en,service_type,lat,lng,country_code
Second Cup,Second Cup,cafe,43.6772079,-79.3528895,CA
Foodland,Foodland,supermarket,43.6786172,-79.3457523,CA
Nord Lyon Cafe,Nord Lyon Cafe,cafe,43.6500196,-79.3909545,CA
Tim Hortons,Tim Hortons,cafe,43.6523976,-79.4062653,CA
Petro-Canada,Petro-Canada,fuel,43.6447004,-79.3943053,CA
Shell,Shell,fuel,43.6442632,-79.3949107,CA
Starbucks,Starbucks,cafe,43.6453549,-79.3894561,CA
Canadian Tire,Canadian Tire,department_store,43.6554976,-79.383298,CA
Winners,Winners,department_store,43.6568408,-79.3808784,CA
7-Eleven,7-Eleven,convenience,43.6667622,-79.4041004,CA
Esso,Esso,fuel,43.6759496,-79.4032127,CA
Joe's Convenience,Joe's Convenience,convenience,43.6699553,-79.4287959,CA
My 151 Convenience,My 151 Convenience,convenience,43.6665134,-79.4194288,CA
Emily Rose Cafe,Emily Rose Cafe,cafe,43.6675085,-79.4146202,CA
Long & McQuade,Long & McQuade,musical_instrument,43.6614982,-79.4271393,CA
Stop 'N Shop,Stop 'N Shop,convenience,43.6613441,-79.4279604,CA
Siberia Vintage,Siberia Vintage,clothes,43.6612676,-79.4282767,CA
Tokyo Smoke,Tokyo Smoke,cannabis,43.6610593,-79.4291136,CA
Bloor Mini Mart,Bloor Mini Mart,convenience,43.6609732,-79.4294704,CA
Aakriti Threading & Wax Bar,Aakriti Threading & Wax Bar,beauty,43.6602833,-79.4328568,CA
Mystic Buds,Mystic Buds,cannabis,43.6602005,-79.4331877,CA
INS Market,INS Market,convenience,43.6601026,-79.4351328,CA
Sun Shine Variety,Sun Shine Variety,convenience,43.6672347,-79.4319263,CA
77 Food Market,77 Food Market,convenience,43.6673212,-79.4315622,CA
Progress Bakery,Progress Bakery,bakery,43.6670263,-79.4318092,CA
Value Village,Value Village,second_hand,43.6619922,-79.4298653,CA
Circle K,Circle K,convenience,43.6555741,-79.385077,CA
Petra Ave Market,Petra Ave Market,supermarket,43.6555295,-79.3854337,CA
Ulster Coin Wash,Ulster Coin Wash,laundry,43.6599184,-79.40792,CA
Pavão,Pavão,butcher,43.6494878,-79.4299579,CA
Joe Fresh,Joe Fresh,clothes,43.6837387,-79.4163662,CA
Galleria The Kitchen Express,Galleria The Kitchen Express,supermarket,43.6669087,-79.4010556,CA
Farm Boy,Farm Boy,supermarket,43.688501,-79.3907567,CA
The Ten Spot,The Ten Spot,beauty,43.6861328,-79.3930736,CA
New Forest Market,New Forest Market,supermarket,43.6755767,-79.4028204,CA
Winona Market,Winona Market,convenience,43.6869155,-79.4347407,CA
Pi Co.,Pi Co.,restaurant,43.6814873,-79.4258236,CA
Prime Doner Shwarma,Prime Doner Shwarma,restaurant,43.6633207,-79.4025009,CA
Harbord Convenience,Harbord Convenience,convenience,43.6625604,-79.4039281,CA
Harry's Charbroiled,Harry's Charbroiled,restaurant,43.6556742,-79.4098907,CA
Trinity Drug Store,Trinity Drug Store,vacant,43.6523206,-79.4064887,CA
Spiritleaf,Spiritleaf,cannabis,43.6558341,-79.4115931,CA
The Fourth Man in the Fire,The Fourth Man in the Fire,restaurant,43.6517057,-79.4096053,CA
Melo Grocery,Melo Grocery,convenience,43.6477067,-79.4100045,CA
Drom Taberna,Drom Taberna,restaurant,43.648206,-79.3995577,CA
Baa Baazaar,Baa Baazaar,gift,43.6413664,-79.4469764,CA
White Corner Variety,White Corner Variety,convenience,43.6515743,-79.4512437,CA
3 Jit Variety,3 Jit Variety,convenience,43.657201,-79.4488161,CA
Bikes on Wheels,Bikes on Wheels,bicycle,43.6567245,-79.4027359,CA
