name,name_en,service_type,lat,lng,country_code
Under Renovation (used to be Bookworm),Under Renovation (used to be Bookworm),books,39.9311036,116.4497585,CN
Iqiyi,Iqiyi,cafe,39.9314345,116.4493255,CN
马沙拉之香印度餐厅,MaShaLaZhiXiangYinDuCanTing,restaurant,39.9357763,116.3971202,CN
L'Isola Italian Restaurant,L'Isola Italian Restaurant,restaurant,39.9315469,116.4520067,CN
富桥,Footmassage,massage,39.9754628,116.33751,CN
孔乙己酒家,Kongyiji Restaurant,restaurant,39.9414667,116.3750306,CN
迷你站奶茶专门店,Mini Station Milktea,cafe,39.9911674,116.3289966,CN
三夫户外用品商店马甸东店,SanFuHuWaiYongPinShangDianMaDianDongDian,outdoor,39.9662275,116.3712568,CN
三夫户外用品商店马甸中店,SanFuHuWaiYongPinShangDianMaDianZhongDian,outdoor,39.9662243,116.3710349,CN
三夫户外用品商店马甸西店,Sanfo Outdoor Equipment,outdoor,39.9662728,116.3708297,CN
哈哈镜超市,Hahajing Convenient Store,convenience,39.9393061,116.4240147,CN
孔亮火锅,Kongliang Hotpot Restaurant,restaurant,39.9394094,116.4146661,CN
沸腾渔乡,FeiTengYuXiang,restaurant,39.975425,116.3398087,CN
一品三笑,Yippin,restaurant,39.99114,116.3278572,CN
比格披萨,Bigpizza,restaurant,39.9911517,116.3280633,CN
永琪美发沙龙,YongQiMeiFaShaLong,hairdresser,39.9910511,116.326299,CN
品奇,PinQi,restaurant,39.9911263,116.3274731,CN
April Gourmet,April Gourmet,supermarket,39.9350114,116.4392927,CN
物美,Wumart,supermarket,39.9326703,116.4322986,CN
VICo,VICo,car,39.943153,116.4490686,CN
中国石化,Sinopec,fuel,39.9992962,116.3096253,CN
羊蝎子,YangXieZi,restaurant,39.9963638,116.3105841,CN
星巴克,Starbucks,cafe,39.9328092,116.4489094,CN
麻辣诱惑,MaLaYouHuo,restaurant,39.9330396,116.4481455,CN
南城香,NanChengXiang,restaurant,39.9666597,116.319204,CN
金掌勺,JinZhangShao,restaurant,39.9668489,116.3192255,CN
京客隆,Jingkelong,supermarket,39.9328021,116.4447163,CN
必胜客,Pizza Hut,restaurant,39.9401076,116.4390337,CN
Ganges,Ganges,restaurant,39.9329847,116.4474304,CN
大董烤鸭团结湖分店,DaDongKaoYaTuanJieHuFenDian,restaurant,39.9313007,116.4562015,CN
JingZun,JingZun Beijing Duck Restaurant,restaurant,39.9356197,116.4378981,CN
包子铺,BaoZiPu,restaurant,39.9385889,116.4381052,CN
The Olive,The Olive,restaurant,39.9326581,116.4402263,CN
The Tree,The Tree,restaurant,39.9352031,116.4475395,CN
Luga's Pho Pho,Luga's Pho Pho,restaurant,39.9347066,116.4478008,CN
Duck de Chine,Duck de Chine,restaurant,39.9304296,116.4524081,CN
Eudora Station,Eudora Station,restaurant,39.9747378,116.4737302,CN
Jenny Lou's,Jenny Lou's,supermarket,39.941961,116.4464761,CN
北京华联,BHG,supermarket,39.9226929,116.3484576,CN
BOKB,BOKB,restaurant,39.9616763,116.4493018,CN
Ajisen,Ajisen,restaurant,39.9855671,116.4741701,CN
正一味,Zhengyiwei,restaurant,39.9855771,116.4743967,CN
