name,name_en,service_type,lat,lng,country_code
Repsol AutoGas,Repsol AutoGas,fuel,40.3995727,-3.7329825,ES
Galp,Galp,fuel,40.373567,-3.7432466,ES
Café Comercial,Café Comercial,restaurant,40.4287093,-3.701972,ES
Honest Greens,Honest Greens,restaurant,40.4270276,-3.7016997,ES
Alcampo,Alcampo,supermarket,40.480352,-3.7068876,ES
Los arcángeles de Las Rosas,Los arcángeles de Las Rosas,lottery,40.4285305,-3.6050886,ES
La Parrilla de Nino,La Parrilla de Nino,restaurant,40.4257656,-3.7120898,ES
Taj Mahal,Taj Mahal,restaurant,40.42514,-3.7118533,ES
La Pomarada,La Pomarada,restaurant,40.426008,-3.7115084,ES
Sexto,Sexto,restaurant,40.4252476,-3.6963836,ES
Repsol,Repsol,fuel,40.4402978,-3.7179406,ES
Brasa y Leña,Brasa y Leña,restaurant,40.4162327,-3.7088498,ES
100 Montaditos,100 Montaditos,restaurant,40.4136118,-3.7087304,ES
El Viajero,El Viajero,restaurant,40.4116487,-3.7101786,ES
Tío Timón,Tío Timón,restaurant,40.4131593,-3.7117469,ES
Taquería del Alamillo,Taquería del Alamillo,restaurant,40.4137154,-3.7127335,ES
"Librería ""Arranca Thelma""","Librería ""Arranca Thelma""",books,40.4135438,-3.7126525,ES
Casa Ginés,Casa Ginés,restaurant,40.485413,-3.6852544,ES
Mesón Gallego,Mesón Gallego,restaurant,40.4857882,-3.6926733,ES
Queen Burger Gourmet,Queen Burger Gourmet,restaurant,40.4855645,-3.6920333,ES
tele-bocata,tele-bocata,restaurant,40.4862924,-3.6924531,ES
Floralbir,Floralbir,florist,40.4858578,-3.6862337,ES
Exp. nº 326,Exp. nº 326,tobacco,40.4859986,-3.6865262,ES
Peluquería caballeros Florencio,Peluquería caballeros Florencio,hairdresser,40.484238,-3.6871567,ES
Casa Mouriño,Casa Mouriño,restaurant,40.485544,-3.6895993,ES
chinos alimentación,chinos alimentación,convenience,40.4860809,-3.6903822,ES
Carnicería Pollería José Martin,Carnicería Pollería José Martin,butcher,40.485625,-3.6883678,ES
Tapería de Fuencarral,Tapería de Fuencarral,restaurant,40.4849065,-3.68482,ES
Dia,Dia,supermarket,40.4854304,-3.6902918,ES
Globalpiso,Globalpiso,seafood,40.4865637,-3.6900576,ES
Exp. nº 148,Exp. nº 148,tobacco,40.4865441,-3.6903559,ES
Condemar,Condemar,cafe,40.4463777,-3.7149013,ES
Taberna la Tortuga,Taberna la Tortuga,restaurant,40.4468248,-3.714308,ES
Estanco,Estanco,tobacco,40.4467104,-3.7136781,ES
Frutería,Frutería,supermarket,40.4873888,-3.6898562,ES
Restaurante otavaleño,Restaurante otavaleño,restaurant,40.4868023,-3.6892489,ES
M-KOR,M-KOR,supermarket,40.4864013,-3.6887967,ES
Taller T y J,Taller T y J,car_repair,40.4858345,-3.6892715,ES
MultiPan's,MultiPan's,bakery,40.4858434,-3.6894525,ES
Ferretería JA,Ferretería JA,hardware,40.4860185,-3.6901201,ES
Ferretería de Aluminio Carmetal,Ferretería de Aluminio Carmetal,hardware,40.4870215,-3.6890489,ES
"Supermercado ""GAMA""","Supermercado ""GAMA""",supermarket,40.4865081,-3.6893842,ES
"Frutería ""María del Mar""","Frutería ""María del Mar""",greengrocer,40.4864428,-3.6892626,ES
Restaurante Fereva,Restaurante Fereva,restaurant,40.4854963,-3.6895029,ES
"Panadería pastelería ""Marines""","Panadería pastelería ""Marines""",bakery,40.4839533,-3.6883279,ES
"Pan y bebidas ""José María""","Pan y bebidas ""José María""",bakery,40.4845081,-3.68723,ES
Food Basics,Food Basics,supermarket,40.4851104,-3.6877452,ES
Cafetería Filosofía,Cafetería Filosofía,restaurant,40.4486523,-3.7297735,ES
Quiosco Prado,Quiosco Prado,kiosk,40.4093955,-3.6917429,ES
Fuente de la Fama,Fuente de la Fama,restaurant,40.4115676,-3.6978097,ES
Casa Pajuelo,Casa Pajuelo,deli,40.4109761,-3.6961428,ES
A Cañada,A Cañada,restaurant,40.4112109,-3.69567,ES
Alimentación Mantequería,Alimentación Mantequería,convenience,40.4125053,-3.695567,ES
Arrocería Gala,Arrocería Gala,restaurant,40.412427,-3.6963071,ES
El Fogón Verde,El Fogón Verde,restaurant,40.4122937,-3.6939658,ES
Moratin 40,Moratin 40,restaurant,40.4125537,-3.6951865,ES
El Rábano,El Rábano,restaurant,40.4134319,-3.6957085,ES
Terra Mundi,Terra Mundi,restaurant,40.4136237,-3.6960696,ES
Edelweiss,Edelweiss,restaurant,40.4169233,-3.6966322,ES
El Secreto de Castilla,El Secreto de Castilla,restaurant,40.4171806,-3.6965924,ES
Sagardi,Sagardi,restaurant,40.4173325,-3.6966034,ES
Vegetariano,Vegetariano,restaurant,40.416822,-3.6971908,ES
La Feria del Mar,La Feria del Mar,seafood,40.4044125,-3.7022852,ES
Carnicería,Carnicería,butcher,40.4042641,-3.7021908,ES
Movileo.com,Movileo.com,mobile_phone,40.4039813,-3.7019736,ES
Chinos - alimentación,Chinos - alimentación,convenience,40.4029771,-3.7011902,ES
Granier,Granier,bakery,40.4046885,-3.7019897,ES
La Verde Doncella,La Verde Doncella,greengrocer,40.4044417,-3.7018264,ES
Alimentación,Alimentación,convenience,40.4041585,-3.7013673,ES
Uskar,Uskar,restaurant,40.4040925,-3.7009208,ES
La Sirena,La Sirena,frozen_food,40.4036812,-3.7012155,ES
El encuentro,El encuentro,cafe,40.4037836,-3.7001622,ES
El Valle,El Valle,restaurant,40.4037373,-3.6995978,ES
Tia Julia,Tia Julia,restaurant,40.4049362,-3.6986721,ES
Ramen Kagura,Ramen Kagura,restaurant,40.4051914,-3.6973199,ES
Mercadona,Mercadona,supermarket,40.4028283,-3.696878,ES
Mama Teresa Burger,Mama Teresa Burger,restaurant,40.4038286,-3.6964406,ES
Atocha Tandoori,Atocha Tandoori,restaurant,40.4050712,-3.6952969,ES
Exp. nº 84,Exp. nº 84,tobacco,40.4047475,-3.6960825,ES
Mercado Jamón Ibérico,Mercado Jamón Ibérico,food,40.4153818,-3.7117251,ES
Horno San Onofre,Horno San Onofre,bakery,40.4151983,-3.7116427,ES
Arcade,Arcade,restaurant,40.4152606,-3.7115508,ES
Cruz Blanca,Cruz Blanca,restaurant,40.4156653,-3.7102121,ES
Jiao Jiao,Jiao Jiao,restaurant,40.4155515,-3.7099687,ES
Taste Gallery,Taste Gallery,restaurant,40.4153729,-3.7094547,ES
SuperSano,SuperSano,convenience,40.4157426,-3.7092046,ES
Taberneros,Taberneros,restaurant,40.4163669,-3.7104348,ES
Arbonaida,Arbonaida,restaurant,40.4164826,-3.7106873,ES
Chocolatería San Ginés,Chocolatería San Ginés,cafe,40.4167707,-3.706803,ES
Grazie Mille,Grazie Mille,restaurant,40.4161161,-3.7075072,ES
Entre suspiro y suspiro,Entre suspiro y suspiro,restaurant,40.4186369,-3.7090308,ES
Ópera Victoria,Ópera Victoria,restaurant,40.4185506,-3.7089327,ES
Are you ready?,Are you ready?,cosmetics,40.4192196,-3.7081865,ES
Wok King,Wok King,restaurant,40.4195999,-3.7077336,ES
Locutorio,Locutorio,internet_cafe,40.4190914,-3.7080699,ES
Taberna de los Ángeles,Taberna de los Ángeles,restaurant,40.4186643,-3.7082433,ES
Prep‘ la Crêpe,Prep‘ la Crêpe,restaurant,40.4196449,-3.7070086,ES
Viandas de Salamanca,Viandas de Salamanca,deli,40.4187951,-3.704916,ES
El Gaucho,El Gaucho,restaurant,40.418183,-3.7031236,ES
Vianvi,Vianvi,cafe,40.4185047,-3.7034827,ES
Artemisa - Gran Vía,Artemisa - Gran Vía,restaurant,40.4192239,-3.7029032,ES
Casa del Libro,Casa del Libro,books,40.4199471,-3.7032509,ES
Takos Al Pastor,Takos Al Pastor,restaurant,40.4192518,-3.7034321,ES
OVNI,OVNI,cafe,40.4193676,-3.703326,ES
Skechers,Skechers,shoes,40.4199982,-3.7038692,ES
Starbucks,Starbucks,cafe,40.4202661,-3.7028563,ES
Ray-Ban Madrid,Ray-Ban Madrid,fashion_accessories,40.4204361,-3.7052856,ES
Preity Raj,Preity Raj,restaurant,40.4102862,-3.7008582,ES
Raja Mahal,Raja Mahal,restaurant,40.4111374,-3.700326,ES
Moharaj,Moharaj,restaurant,40.4110886,-3.700589,ES
Nap,Nap,restaurant,40.4108202,-3.7005322,ES
Bombay Palace,Bombay Palace,restaurant,40.4107264,-3.7008747,ES
