name,name_en,service_type,lat,lng,country_code
Esso,Esso,convenience;gas,48.823134,2.4939428,FR
Relais Saint-Cloud Dassault,Relais Saint-Cloud Dassault,convenience,48.8549783,2.2224884,FR
Total,Total,convenience,48.8060686,2.3762455,FR
Relais Total Du Pont Aval,Relais Total Du Pont Aval,convenience,48.8346767,2.266146,FR
Avia,Avia,convenience;gas,48.8256612,2.4077565,FR
SARL Jaby Avia,SARL Jaby Avia,convenience;gas,48.8144777,2.3261551,FR
Relais des Chaufourniers,Relais des Chaufourniers,convenience;gas,48.8801814,2.3707442,FR
The Village Terrazza,The Village Terrazza,restaurant,48.8298353,2.3228662,FR
Pizzeria Palma d'Oro,Pizzeria Palma d'Oro,restaurant,48.8949681,2.2229796,FR
Au Poulet Braisé,Au Poulet Braisé,restaurant,48.894638,2.2231811,FR
Pizzeria Torino,Pizzeria Torino,restaurant,48.8951397,2.2225402,FR
Atelier Bey,Atelier Bey,restaurant,48.8949813,2.2221176,FR
Be you coiffure,Be you coiffure,hairdresser,48.8952026,2.2214024,FR
Le Severo,Le Severo,restaurant,48.8319911,2.3245334,FR
Le Sancerre,Le Sancerre,restaurant,48.896284,2.2250919,FR
La Terrasse,La Terrasse,restaurant,48.8965817,2.2241626,FR
Brico Dépôt,Brico Dépôt,doityourself,48.8916516,2.2063068,FR
Pâtisserie Viennoiserie,Pâtisserie Viennoiserie,bakery,48.8949393,2.2239739,FR
Franprix,Franprix,convenience,48.8956757,2.2228116,FR
Boulangerie MD du parc,Boulangerie MD du parc,bakery,48.8954414,2.2233804,FR
Avant Seine,Avant Seine,restaurant,48.8948889,2.2387542,FR
Tusk,Tusk,restaurant,48.8907062,2.242646,FR
Soleil d'Or,Soleil d'Or,restaurant,48.8964233,2.2372254,FR
Bar Tabac L'Européen,Bar Tabac L'Européen,cafe,48.8222833,2.2068942,FR
Boldère,Boldère,restaurant,48.8907277,2.23561,FR
Pizza Hut,Pizza Hut,restaurant,48.8224232,2.2075203,FR
Uno,Uno,restaurant,48.8618492,2.3434997,FR
La Crypte Polska,La Crypte Polska,restaurant,48.8672925,2.3255509,FR
Le Café Marly,Le Café Marly,cafe,48.8616428,2.3359304,FR
Mystery Cuisine,Mystery Cuisine,restaurant,48.865893,2.3372573,FR
Chez Denise,Chez Denise,restaurant,48.8615239,2.3440891,FR
La Robe et le Palais,La Robe et le Palais,restaurant,48.8586437,2.3458501,FR
Macéo,Macéo,restaurant,48.8664042,2.3380601,FR
Saint Laurent,Saint Laurent,clothes,48.86534,2.3308795,FR
Le Petit Marché,Le Petit Marché,restaurant,48.8572887,2.3660498,FR
Café des Musées,Café des Musées,restaurant,48.8580708,2.3643313,FR
Les Arts et Métiers,Les Arts et Métiers,cafe,48.865451,2.3553243,FR
Camille,Camille,restaurant,48.8577772,2.3607273,FR
