name,name_en,service_type,lat,lng,country_code
Applegreen petrol station,Applegreen petrol station,fuel,51.4197615,-0.1277262,GB
Woburn Cafe,Woburn Cafe,cafe,51.5265807,-0.1292505,GB
Cafe Angel,Cafe Angel,cafe,51.5247641,-0.1161125,GB
Tesco Express,Tesco Express,convenience,51.5111215,-0.1251645,GB
Bold Food & Bar,Bold Food & Bar,restaurant,51.5649774,-0.140689,GB
Esso,Esso,fuel,51.5455813,-0.133287,GB
Chris Dry Cleaners,Chris Dry Cleaners,dry_cleaning,51.5513131,-0.0752367,GB
Jack's Cafe,Jack's Cafe,cafe,51.5509046,-0.0724776,GB
Finsbury Services,Finsbury Services,fuel,51.5655221,-0.1027062,GB
Springfield Park Cafe,Springfield Park Cafe,cafe,51.5691513,-0.0598633,GB
M&S Foodhall,M&S Foodhall,supermarket,51.53781,-0.1420408,GB
Sainsbury's Local,Sainsbury's Local,convenience,51.5175867,-0.1087596,GB
Waitrose,Waitrose,supermarket,51.5163445,-0.1872577,GB
Old Tree Daiwan Bee,Old Tree Daiwan Bee,restaurant,51.5110542,-0.1325596,GB
WHSmith,WHSmith,newsagent,51.5856817,-0.182579,GB
Perks and White,Perks and White,cafe,51.4400001,-0.1051929,GB
Morrisons Daily,Morrisons Daily,convenience,51.5966742,-0.1980072,GB
Iceland,Iceland,frozen_food,51.539616,-0.0558389,GB
Ladbrokes,Ladbrokes,bookmaker,51.5220415,-0.0462213,GB
Texaco,Texaco,fuel,51.4278896,-0.0564475,GB
Compton Cycles,Compton Cycles,bicycle,51.4429141,-0.0271434,GB
Tratorria Raffaele,Tratorria Raffaele,restaurant,51.4256431,-0.0487489,GB
Bistrotheque,Bistrotheque,restaurant,51.5340961,-0.0560633,GB
Mithai Ghar,Mithai Ghar,restaurant,51.517788,-0.0656989,GB
A toca,A toca,restaurant,51.47539,-0.1312087,GB
Venus,Venus,restaurant,51.4177496,-0.1777821,GB
Corleone,Corleone,restaurant,51.4182745,-0.1782663,GB
The Serpentine Lido Cafe,The Serpentine Lido Cafe,cafe,51.5046688,-0.1696555,GB
