name,name_en,service_type,lat,lng,country_code
Hypermart,Hypermart,supermarket,-6.1946879,106.8156052,ID
Grand Lucky,Grand Lucky,supermarket,-6.1332263,106.8306577,ID
The FoodHall,The FoodHall,supermarket,-6.2276886,106.7973554,ID
Foodmart Fresh Plaza Semanggi,Foodmart Fresh Plaza Semanggi,supermarket,-6.2199982,106.8141554,ID
Angke Fish Market,Angke Fish Market,supermarket,-6.10717,106.7745403,ID
Carrefour,Carrefour,supermarket,-6.2230704,106.8260443,ID
Hero,Hero,supermarket,-6.2650962,106.8207591,ID
Giant,Giant,supermarket,-6.2893523,106.7772184,ID
Super Indo,Super Indo,supermarket,-6.1654142,106.7820668,ID
Indomaret Bona Indah,Indomaret Bona Indah,convenience,-6.2974688,106.7826634,ID
Farmer's Market,Farmer's Market,supermarket,-6.2183153,106.8351265,ID
Death by Chocolate,Death by Chocolate,restaurant,-6.2315654,106.8091207,ID
Tator,Tator,cafe,-6.185756,106.8291834,ID
Burger Bangor,Burger Bangor,restaurant,-6.1853139,106.8292687,ID
Planet Hollywood Jakarta,Planet Hollywood Jakarta,restaurant,-6.2270548,106.8188215,ID
Pegadaian,Pegadaian,pawnbroker,-6.2904034,106.8364085,ID
Soto kudus,Soto kudus,restaurant,-6.243612,106.8112063,ID
Lotte Mart,Lotte Mart,supermarket,-6.2268317,106.8013602,ID
CFC,CFC,restaurant,-6.1892346,106.7963777,ID
Pizza Hut,Pizza Hut,restaurant,-6.1887754,106.7966001,ID
Warung Tekko,Warung Tekko,restaurant,-6.2216971,106.8328855,ID
McDonald's;Koppi,McDonald's;Koppi,fast_food;cafe,-6.2213848,106.8335368,ID
Kafe Betawi,Kafe Betawi,restaurant,-6.2179322,106.8352926,ID
QBox Cafe,QBox Cafe,restaurant,-6.217509,106.8351981,ID
Comics Cafe,Comics Cafe,restaurant,-6.2176167,106.8352278,ID
7-Eleven,7-Eleven,convenience,-6.221717,106.8327195,ID
Johnny Andrean,Johnny Andrean,hairdresser,-6.2207906,106.8328893,ID
Star Mart,Star Mart,convenience,-6.2204316,106.8358151,ID
Otel Lobby,Otel Lobby,restaurant,-6.218784,106.8342014,ID
Loewy,Loewy,restaurant,-6.2274971,106.8256943,ID
Pastis,Pastis,restaurant,-6.2073613,106.8276206,ID
Circle K,Circle K,convenience,-6.2072186,106.8269636,ID
Jessy Bread,Jessy Bread,bakery,-6.1982939,106.8858917,ID
Ayam Balphuss,Ayam Balphuss,restaurant,-6.2013183,106.8857998,ID
Riung Tenda,Riung Tenda,restaurant,-6.2011358,106.8858153,ID
Ayam Bakar Gilimanuk,Ayam Bakar Gilimanuk,restaurant,-6.1970682,106.8862437,ID
Ikan Bakar Banyuwangi,Ikan Bakar Banyuwangi,restaurant,-6.2007422,106.8858317,ID
Cafe Al Tahrir,Cafe Al Tahrir,cafe,-6.2205601,106.8325505,ID
Dim Sum Inc,Dim Sum Inc,restaurant,-6.2216833,106.83293,ID
Heartz Chicken Buffet,Heartz Chicken Buffet,restaurant,-6.2216817,106.8330017,ID
Ko he Noor,Ko he Noor,restaurant,-6.2217055,106.832812,ID
de Resto,de Resto,restaurant,-6.2216769,106.8329619,ID
Bakmi GM,Bakmi GM,restaurant,-6.2216182,106.8333687,ID
Body Shop,Body Shop,chemist,-6.2181514,106.83489,ID
Caho Mung Qui Khach,Caho Mung Qui Khach,restaurant,-6.2181548,106.8345863,ID
Daily Bread Bakery and Cafe,Daily Bread Bakery and Cafe,cafe,-6.2180374,106.8345492,ID
Dapur Melayu,Dapur Melayu,restaurant,-6.2178965,106.8345593,ID
E Corner,E Corner,restaurant,-6.2186576,106.835003,ID
Ho Lung Sechan Cuisine,Ho Lung Sechan Cuisine,restaurant,-6.218346,106.8352004,ID
Kopi Luwak,Kopi Luwak,cafe,-6.2182454,106.8352645,ID
Madam Kwok,Madam Kwok,restaurant,-6.217655,106.8347415,ID
Mangotree Bistro,Mangotree Bistro,restaurant,-6.2184859,106.8348267,ID
Pandav Coffee;pandav coffe,Pandav Coffee;pandav coffe,cafe,-6.2182606,106.8346496,ID
Starbucks,Starbucks,cafe,-6.2178663,106.8349406,ID
Talaga,Talaga,restaurant,-6.2176986,106.8352477,ID
Tgrill,Tgrill,restaurant,-6.2175912,106.8347584,ID
Usselsspring,Usselsspring,restaurant,-6.2177623,106.8349136,ID
"""Devista"" Laundry","""Devista"" Laundry",laundry,-6.2186219,106.8383282,ID
"""King Londre"" Laundry","""King Londre"" Laundry",laundry,-6.2194693,106.8395509,ID
"""Mitra Setia"" Binatu","""Mitra Setia"" Binatu",dry_cleaning,-6.2189514,106.8396099,ID
"""Mitra"" Laundry","""Mitra"" Laundry",laundry,-6.2186002,106.835476,ID
"""Superindah"" Laundry and Dry Clening","""Superindah"" Laundry and Dry Clening",laundry,-6.2189177,106.8383521,ID
Q-Ta Laundry,Q-Ta Laundry,laundry,-6.2179792,106.8376365,ID
Eastern Promise,Eastern Promise,restaurant,-6.2550113,106.8093074,ID
Indomaret,Indomaret,convenience,-6.1990293,106.7821564,ID
Lawson,Lawson,convenience,-6.2007729,106.7827568,ID
Yung Yung Salon,Yung Yung Salon,hairdresser,-6.1453903,106.7880587,ID
Kembang Goela,Kembang Goela,restaurant,-6.2174601,106.8166673,ID
DanceSignal Spot - Immigrant,DanceSignal Spot - Immigrant,nightclub;restaurant,-6.193575,106.8224627,ID
D'Marco Cafe,D'Marco Cafe,cafe,-6.1859185,106.8252696,ID
Kantin Mega Rasa,Kantin Mega Rasa,restaurant,-6.1346378,106.8123495,ID
Mbah Jingkrak Setiabudi,Mbah Jingkrak Setiabudi,restaurant,-6.2088121,106.8267782,ID
KFC Pantai Indah Kapuk,KFC Pantai Indah Kapuk,restaurant,-6.1164866,106.7620997,ID
SuperIndo,SuperIndo,supermarket,-6.1167853,106.7593423,ID
Sui Sen,Sui Sen,restaurant,-6.1615105,106.8338961,ID
Mamink Daeng Tata,Mamink Daeng Tata,restaurant,-6.2239344,106.8515147,ID
Nyiur,Nyiur,restaurant,-6.1213446,106.8409451,ID
Le Bridge Restaurant,Le Bridge Restaurant,restaurant,-6.1189012,106.8477316,ID
Lanna Thai,Lanna Thai,restaurant,-6.1973908,106.8238871,ID
Taco Local,Taco Local,restaurant,-6.2505445,106.7979146,ID
Hacienda,Hacienda,restaurant,-6.22492,106.801425,ID
Sederhana,Sederhana,restaurant,-6.1965871,106.8828857,ID
The Cookshop,The Cookshop,convenience,-6.2295255,106.7965752,ID
