name,name_en,service_type,lat,lng,country_code
Copper Chimney,Copper Chimney,restaurant,18.927571,72.8325747,IN
Worliway Service Station,Worliway Service Station,fuel,18.997908,72.817372,IN
Crystal Plaza,Crystal Plaza,mall,19.140853,72.8324598,IN
VAMA,VAMA,clothes,18.9652997,72.8072717,IN
Nattu Cyclewalla,Nattu Cyclewalla,bicycle,19.0499651,72.8263763,IN
Cafe Andora,Cafe Andora,cafe,19.0573435,72.8276847,IN
Good Luck Restaurant,Good Luck Restaurant,restaurant,19.0517569,72.8240813,IN
A1 Bakery,A1 Bakery,cafe,19.0546237,72.8264717,IN
J Hearsch and Co,J Hearsch and Co,bakery,19.0551689,72.8269905,IN
Wonton House,Wonton House,restaurant,19.0548375,72.8258975,IN
Heera Panna,Heera Panna,supermarket,18.9775387,72.8109505,IN
Cafe Coffee Day,Cafe Coffee Day,cafe,18.9166662,72.8176892,IN
Ever Green,Ever Green,restaurant,18.9598264,72.81716,IN
Shriram,Shriram,restaurant,18.959522,72.8172244,IN
New Martin Hotel,New Martin Hotel,restaurant,18.9186212,72.8295185,IN
Mahesh Lunch Home,Mahesh Lunch Home,restaurant,18.9340269,72.8336071,IN
Mocambo Cafe,Mocambo Cafe,restaurant,18.9341607,72.8337661,IN
On Toes Restobar,On Toes Restobar,restaurant,18.9348609,72.8337017,IN
Ideal Corner,Ideal Corner,restaurant,18.9349624,72.8342167,IN
Excellency Restaurant,Excellency Restaurant,restaurant,18.9352567,72.8373924,IN
Bharat Petroleum,Bharat Petroleum,fuel,18.9367891,72.8396991,IN
Cafe Mondegar,Cafe Mondegar,cafe,18.9240421,72.8321786,IN
Akbarallys,Akbarallys,supermarket,18.9321174,72.8326369,IN
Moshe's,Moshe's,restaurant,18.917358,72.824523,IN
Westside,Westside,clothes,18.9280426,72.8311609,IN
Kamat Restaurant,Kamat Restaurant,restaurant,18.9215278,72.8312063,IN
Ankur,Ankur,restaurant,18.9306421,72.8323368,IN
Indigo Deli,Indigo Deli,restaurant,18.9239059,72.8332921,IN
