name,name_en,service_type,lat,lng,country_code
Giolitti,Giolitti,cafe,41.9010573,12.4772481,IT
Eni,Eni,fuel,41.909256,12.417657,IT
IP,IP,fuel,41.8611696,12.5332808,IT
Esso,Esso,fuel,41.860684,12.442811,IT
Agip,Agip,fuel,41.950518,12.571197,IT
Erg,Erg,fuel,41.949405,12.563902,IT
Api,Api,fuel,41.8645415,12.422337,IT
Q8,Q8,fuel,41.8525852,12.4768841,IT
Total,Total,fuel,41.8758021,12.4172439,IT
TotalErg,TotalErg,fuel,41.8948464,12.5683145,IT
StarOIL,StarOIL,fuel,41.925869,12.414535,IT
REPSOL (ex ERG),REPSOL (ex ERG),fuel,41.9148443,12.4639291,IT
Tamoil,Tamoil,fuel,41.882929,12.5344717,IT
Gasauto,Gasauto,fuel,41.8613446,12.5341886,IT
Shell,Shell,fuel,41.8505872,12.4350532,IT
Q8 Easy,Q8 Easy,fuel,41.9107889,12.5489749,IT
Ludoil,Ludoil,fuel,41.910219,12.4745955,IT
Tiber,Tiber,fuel,41.925019,12.42322,IT
EWA Point,EWA Point,fuel,41.921559,12.423038,IT
Petrol Italia,Petrol Italia,fuel,41.925129,12.413937,IT
Tpp Roma,Tpp Roma,fuel,41.865836,12.4788407,IT
Ewa,Ewa,fuel,41.913354,12.413784,IT
IES,IES,fuel,41.960069,12.406601,IT
Toil,Toil,fuel,41.930076,12.4228568,IT
Il Barattolino,Il Barattolino,convenience,41.9475457,12.5381443,IT
rgb46 - relax gallery books,rgb46 - relax gallery books,books,41.880572,12.4748965,IT
Pizzeria ai Marmi,Pizzeria ai Marmi,restaurant,41.8882634,12.4737899,IT
Sichuan Haozi,Sichuan Haozi,restaurant,41.8958135,12.4994549,IT
Iper La Spesa,Iper La Spesa,supermarket,41.893177,12.509422,IT
Bar San Calisto,Bar San Calisto,beverages,41.8890547,12.4707375,IT
Dar filettaro a Santa Barbara,Dar filettaro a Santa Barbara,restaurant,41.8946709,12.473696,IT
Tuba,Tuba,cafe,41.8893885,12.5247246,IT
Al Peperoncino,Al Peperoncino,restaurant,41.8534267,12.4769832,IT
Ricambi Auto-Moto-Bici,Ricambi Auto-Moto-Bici,motorcycle,41.8529119,12.4768975,IT
Caffé Arcioni,Caffé Arcioni,cafe,41.9269906,12.5103576,IT
Petrol Gamma,Petrol Gamma,fuel,41.8763137,12.4712449,IT
Caffé Parnaso,Caffé Parnaso,cafe,41.931046,12.4912422,IT
Casina delle Muse,Casina delle Muse,cafe,41.9306836,12.4898821,IT
Caffé Berardo,Caffé Berardo,cafe,41.9256253,12.4871104,IT
Caffé Hungaria,Caffé Hungaria,cafe,41.9221744,12.4926379,IT
Bar del Tennis,Bar del Tennis,cafe,41.9301169,12.4557331,IT
Casina Valadier,Casina Valadier,cafe,41.9101982,12.4797871,IT
Imperatori Armellini,Imperatori Armellini,cafe,41.9184807,12.522832,IT
Depa Phonecenter,Depa Phonecenter,convenience,41.8560301,12.4850141,IT
Zio d'America,Zio d'America,cafe,41.943691,12.5480485,IT
Caffé Afrodite,Caffé Afrodite,cafe,41.9186439,12.4957135,IT
Sant'Eustachio,Sant'Eustachio,cafe,41.8982524,12.4754268,IT
La Casa del Caffè Tazza D’oro,La Casa del Caffè Tazza D’oro,cafe,41.8995925,12.4774865,IT
Rosati,Rosati,restaurant,41.9100758,12.4760696,IT
Ai Tre Scalini,Ai Tre Scalini,wine,41.8962767,12.4904433,IT
Bar Rosi,Bar Rosi,cafe,41.8888496,12.5269051,IT
Trattoria Ada e Mario,Trattoria Ada e Mario,restaurant,41.8753153,12.5143323,IT
Gustosando,Gustosando,restaurant,41.8995399,12.4274338,IT
Sa Posada,Sa Posada,restaurant,41.8799461,12.5079037,IT
Pewex,Pewex,supermarket,41.8446306,12.4909213,IT
Pizzeria Formula 1,Pizzeria Formula 1,restaurant,41.8970186,12.5126806,IT
