name,name_en,service_type,lat,lng,country_code
Kygnus,Kygnus,fuel,35.6795668,139.7946657,JP
スターバックス,Starbucks,cafe,35.684236,139.7390476,JP
帝国ホテルプラザ東京,The Imperial Hotel Plaza,mall,35.672127,139.7594638,JP
文教堂,Bunkyodo,books,35.6678306,139.7577071,JP
LABI,LABI,electric,35.6671262,139.7570348,JP
キムラヤ,Kimuraya,appliance,35.665613,139.7577643,JP
デニーズ,Denny's,restaurant,35.6613882,139.7761893,JP
Circle K,KOJIMA,convenience,35.7823732,139.7795549,JP
コーナン,Kohnan,doityourself,35.7750725,139.7716323,JP
ソフトバンクショップ,SoftBank Shop,mobile_phone,35.6772184,139.7773429,JP
セブン-イレブン,7-Eleven,convenience,35.625465,139.7451981,JP
デイリーヤマザキ,Daily Yamazaki,convenience,35.6244224,139.7397757,JP
けいすけラーメン,Keisuke Ramen,restaurant,35.6269249,139.7379208,JP
つばめグリル,Tsubame Grill,restaurant,35.6276453,139.7373857,JP
ローソン,Lawson,convenience,35.74801,139.7199045,JP
珈琲館,Kohikan,cafe,35.7482853,139.7196284,JP
新板橋書店,新板橋書店,books,35.7483689,139.7198538,JP
ファミリーマート,FamilyMart,convenience,35.6265863,139.6723022,JP
ドトールコーヒーショップ,Doutor Coffee Shop,cafe,35.6812934,139.6981229,JP
SHELL,Showa Shell Sekiyu,fuel,35.6297156,139.6009863,JP
スリーエフ,Three F,convenience,35.6246592,139.6077038,JP
LOHACO,LOHACO,car,35.6238483,139.6080389,JP
デニーズ,Dottole,restaurant,35.6228046,139.6089358,JP
SUZUKI,SUZUKI,car,35.6222813,139.6093774,JP
ENEOS,ENEOS,fuel,35.619323,139.6158564,JP
Big Boy,Big Boy,restaurant,35.6184016,139.6190603,JP
apollostation,apollostation,fuel,35.6084411,139.614113,JP
TOYOTA LEXAS CPO,TOYOTA LEXAS CPO,car,35.60642,139.6433289,JP
東京トヨペット尾山台店,東京トヨペット尾山台店,car,35.6041908,139.6513501,JP
アウディジャパン(株),アウディジャパン(株),car,35.6031635,139.6533473,JP
フォルクスワーゲン世田谷,フォルクスワーゲン世田谷,car,35.6030601,139.6551488,JP
ロイヤルホスト尾山台店,ロイヤルホスト尾山台店,restaurant,35.6021414,139.656272,JP
サイクルベースあさひ,Cycle Base Asahi,bicycle,35.6019068,139.6601653,JP
焼きたてパン　きむらや,焼きたてパン　きむらや,bakery,35.7290793,139.7515806,JP
粥 「喜喜」,Congee Kiki,restaurant,35.6726214,139.7124736,JP
自家焙煎珈琲豆 「ルンバミーア」,Lumba Mia,cafe,35.6749577,139.7124612,JP
ヘンドリックス・カリー・バー,Hendrix Curry Bar,restaurant,35.6748355,139.7124552,JP
えさき,Esaki,restaurant,35.6716996,139.7131681,JP
フォルクス 世田谷代田店,Folks,restaurant,35.6523308,139.6605397,JP
シディーク,Siddique,restaurant,35.6959603,139.7710923,JP
東京トヨペット,東京トヨペット,car,35.652592,139.6158229,JP
Honda,Honda,car,35.631117,139.6255476,JP
Mercedes-Benz,Mercedes-Benz,car,35.615945,139.6366384,JP
アウディアプローブド世田谷,アウディアプローブド世田谷,car,35.6035473,139.653464,JP
藍屋,Aiya,restaurant,35.7649728,139.7354605,JP
SHELL,SHELL,fuel,35.6713025,139.6570274,JP
