name,name_en,service_type,lat,lng,country_code
필샵,Philshop,bicycle,37.5616302,127.0822092,KR
한강문고,Han-Gang Bookstore,books,37.559409,126.9068447,KR
kill,kill,cafe,37.59105,127.01221,KR
샐위치,샐위치,cafe,37.56572,127.0709,KR
세븐일레븐,Seven Eleven,convenience,37.50911,126.87849,KR
바다공원,Bada Park,restaurant,37.522106,126.887794,KR
동강나루터,동강나루터,restaurant,37.5582597,126.9729767,KR
다비치안경,다비치안경,optician,37.4855286,126.9952827,KR
하나로마트,Dong Seoul Nonghyup hanaro market,supermarket,37.601073,127.105612,KR
합정마트,Hapjeong Mart,supermarket,37.5482413,126.913275,KR
현대마트,Hyeondae Mart,supermarket,37.555781,127.136952,KR
도영마트,Doyeong Mart,supermarket,37.600775,126.916971,KR
정할인마트 이경시장,Igyeong Mart,supermarket,37.5944761,127.0662236,KR
아이엠마트,Aiem Mart,supermarket,37.526554,126.898005,KR
미도파마트,Midopa Mart,supermarket,37.483165,126.904929,KR
우리들마트,Urideul Mart,supermarket,37.512694,126.938334,KR
럭키할인마트,Reokki Retail Shop,supermarket,37.5276945,126.9995597,KR
동원할인마트,Dongwon Retail Shop,supermarket,37.5902966,127.0926805,KR
하나우리마트,Hanauri Mart,supermarket,37.5245151,126.9962099,KR
제일할인마트,Jeil Retail Shop,supermarket,37.597799,126.962984,KR
서경할인마트,Seogyeong Retail Shop,supermarket,37.608239,127.015113,KR
우성할인마트,Useong Retail Shop,supermarket,37.543229,127.13102,KR
삼보할인마트,Sambo Retail Shop,supermarket,37.548761,126.850053,KR
문정할인마트,Munjeong Retail Shop,supermarket,37.493626,127.13294,KR
매일마트,Maeil Mart,supermarket,37.554642,127.148998,KR
가락농산물마트,Garangnongsanmul Mart,supermarket,37.598896,127.080212,KR
새천년할인마트,Saecheonnyeon Retail Shop,supermarket,37.4636426,126.9014089,KR
(주)신세계마트,Sinsegye Mart,supermarket,37.516715,127.105317,KR
일화할인마트,Ilhwa Retail Shop,supermarket,37.549314,126.851323,KR
다산마트,Dasan Mart,supermarket,37.512934,127.109344,KR
강서농협 하나로마트,Gangseo National Agricultural Cooperative Federation Hanaro Mart,supermarket,37.5767656,126.8122007,KR
대한마트,Daehan Mart,supermarket,37.535255,126.827402,KR
벅스마트,Beokseu Mart,supermarket,37.602726,126.920499,KR
배드민턴마트,Baedeuminteon Mart,supermarket,37.601879,126.91555,KR
153안경마트;신도림동.구로역(중),153 Angyeong Mart;Sindorimdong.Guro Station,supermarket,37.5054489,126.8831901,KR
한길마트,Hangil Mart,supermarket,37.561155,127.153644,KR
한솔마트,Hansol Mart,supermarket,37.549054,126.873952,KR
케이마트,Kei Mart,supermarket,37.5991947,127.1038835,KR
세림무지개마트,Serimmujigae Mart,supermarket,37.564977,127.04498,KR
대신동 그린마트,Daesindong Green Mart,supermarket,37.5675472,126.9464865,KR
오케이할인마트,OK Retail Shop,supermarket,37.495572,126.953438,KR
현대종합마트,Hyeondaejonghap Mart,supermarket,37.555721,126.897724,KR
이지마트,Iji Mart,supermarket,37.5337265,126.9597755,KR
피자마트,Pija Mart,supermarket,37.539278,126.834152,KR
바코드마트,바코드마트,supermarket,37.483652,126.895265,KR
동양트래블마트,Dongyangteuraebeul Mart,supermarket,37.5570614,126.9554539,KR
씨마트,Ssi Mart,supermarket,37.636889,127.012345,KR
신세계이마트,Shinsegae EMart,supermarket,37.5398806,127.0529605,KR
대부마트,Daebu Mart,supermarket,37.6398,127.015627,KR
스페셜마트,Seupesyeol Mart,supermarket,37.539194,126.959348,KR
에어컨마트,Eeokeon Mart,supermarket,37.570554,126.930212,KR
아이사랑안경마트,Aisarangangyeong Mart,supermarket,37.639696,127.074044,KR
에어마트,Eeo Mart,supermarket,37.493995,127.01546,KR
유기올마트,Yugiol Mart,supermarket,37.480273,126.907923,KR
댄스마트,Daenseu Mart,supermarket,37.4842174,127.0107727,KR
부동산마트,Budongsan Mart,supermarket,37.500937,127.024497,KR
벼룩중고마트,Byeorukjunggo Mart,supermarket,37.476667,126.97523,KR
