name,name_en,service_type,lat,lng,country_code
Estetica Lord's,Estetica Lord's,hairdresser,19.3559748,-99.1564423,MX
Bicipuma,Bicipuma,rental,19.3334958,-99.1808107,MX
Bicipuma Estadio Tapatio Mendez,Bicipuma Estadio Tapatio Mendez,rental,19.3257819,-99.1878175,MX
Toks,Toks,restaurant,19.3453094,-99.1722996,MX
Gandhi Oportunidades,Gandhi Oportunidades,books,19.3476329,-99.1819828,MX
Gandhi Librería Mauricio Achar,Gandhi Librería Mauricio Achar,books,19.3472627,-99.1822775,MX
Octavio Paz,Octavio Paz,books,19.3473494,-99.1826437,MX
Walmart Express,Walmart Express,supermarket,19.3350242,-99.1990842,MX
Starbucks,Starbucks,cafe,19.3495012,-99.1969644,MX
Santo Domingo,Santo Domingo,bakery,19.3465335,-99.1803399,MX
La Estación,La Estación,restaurant,19.3885172,-99.19095,MX
El Jarocho,El Jarocho,cafe,19.3512139,-99.1618279,MX
Cielito Lindo,Cielito Lindo,cafe,19.3734431,-99.1833221,MX
Chedraui,Chedraui,supermarket,19.4829502,-99.0358169,MX
Barracuda Diner,Barracuda Diner,restaurant,19.4159735,-99.1696719,MX
La Biela,La Biela,restaurant,19.416362,-99.1706075,MX/home/hoanld/Desktop/location-service/rwz-location-generator/processed-stores/ph-stores.csv
Cavi,Cavi,cafe,19.3962186,-99.1763346,MX
Extra,Extra,convenience,19.3961815,-99.1738933,MX
Chili's,Chili's,restaurant,19.395757,-99.1719772,MX
La Strega,La Strega,restaurant,19.3953223,-99.1722289,MX
El Samurai,El Samurai,restaurant,19.3942701,-99.1784481,MX
Inn Nueva York,Inn Nueva York,fuel,19.3899237,-99.1750775,MX
7-Eleven,7-Eleven,convenience,19.4012256,-99.1701794,MX
Oxxo,Oxxo,convenience,19.3935097,-99.1758998,MX
Wings Puerto Aereo,Wings Puerto Aereo,restaurant,19.4343614,-99.0887508,MX
Sanborns,Sanborns,department_store,19.3955216,-99.1808872,MX
Suntory,Suntory,restaurant,19.392707,-99.1718061,MX
Japanese,Japanese,restaurant,19.3902748,-99.1721887,MX
Pizza Hut,Pizza Hut,restaurant,19.397131,-99.1641036,MX
Soriana,Soriana,supermarket,19.4025066,-99.1541215,MX
La Mansion,La Mansion,restaurant,19.3908224,-99.1731207,MX
Pajares,Pajares,restaurant,19.3930539,-99.174937,MX
BMW San Antonio,BMW San Antonio,car,19.3862336,-99.1752088,MX
Bahía Capital,Bahía Capital,restaurant,19.3866468,-99.1750622,MX
Le Gourmet,Le Gourmet,restaurant,19.394006,-99.1754848,MX
Rafaello's,Rafaello's,restaurant,19.3929697,-99.1757938,MX
Giancarlo's,Giancarlo's,restaurant,19.3888172,-99.1780817,MX
China Inn,China Inn,restaurant,19.3887015,-99.1777088,MX
Chiandoni,Chiandoni,cafe,19.3862741,-99.1770297,MX
Vips,Vips,restaurant,19.3843056,-99.175222,MX
Nissan,Nissan,car,19.3968098,-99.1813157,MX
Sal y Dulce Artesanos,Sal y Dulce Artesanos,cafe,19.432335,-99.1643219,MX
Super K,Super K,convenience,19.4322392,-99.1643715,MX
esquina 26,esquina 26,cafe,19.4324409,-99.1641049,MX
Pemex,Pemex,fuel,19.3085933,-99.1344258,MX
"Mercado de Sagitario III, ""San Miguel""","Mercado de Sagitario III, ""San Miguel""",convenience,19.4942542,-99.0225413,MX
Establo,Establo,doityourself,19.4935298,-99.0227468,MX
El Porton,El Porton,restaurant,19.4784799,-99.0952666,MX
Waldo´s,Waldo´s,convenience,19.4786293,-99.0944911,MX
Walmart Supercenter,Walmart Supercenter,supermarket,19.4796135,-99.0956273,MX
Centro Commercial Perisur,Centro Commercial Perisur,supermarket,19.3041679,-99.1899965,MX
Azul y Oro,Azul y Oro,restaurant,19.3136655,-99.1850155,MX
