name,name_en,service_type,lat,lng,country_code
SSF Home Deco Mart,SSF Home Deco Mart,interior_decoration,3.1990403,101.6074705,MY
TF Value-Mart,TF Value-Mart,supermarket,3.0807608,101.730584,MY
Mee Bandung House (Muar),Mee Bandung House (Muar),restaurant,3.1764241,101.6993415,MY
Restoran Haslam,Restoran Haslam,restaurant,3.1764224,101.699189,MY
7-Eleven,7-Eleven,convenience,3.1764176,101.6987407,MY
Careefour Express,Careefour Express,convenience,3.2048462,101.7362294,MY
Neo Steamboat,Neo Steamboat,restaurant,3.2035127,101.7365065,MY
HT Auto Sound,HT Auto Sound,car,3.0998538,101.6194837,MY
Shell Select,Shell Select,convenience,3.1642841,101.6518496,MY
Souled Out,Souled Out,restaurant,3.1635342,101.6486202,MY
Food Stalls,Food Stalls,restaurant,3.1767437,101.7030268,MY
Kamdar,Kamdar,department_store,3.1535614,101.6967679,MY
Mydin,Mydin,supermarket,3.1465113,101.6983657,MY
Kak Eita Steamboat,Kak Eita Steamboat,restaurant,3.2035773,101.7365607,MY
AEON BiG,AEON BiG,supermarket,3.0634427,101.6944032,MY
Mums,Mums,restaurant,3.0916007,101.6412537,MY
Village Grocer Bangsar Village,Village Grocer Bangsar Village,supermarket,3.129276,101.6706273,MY
Nando's,Nando's,restaurant,3.1293103,101.6710788,MY
TMC Lucky Garden,TMC Lucky Garden,supermarket,3.1285778,101.6696379,MY
Starbucks,Starbucks,cafe,3.1296759,101.6708607,MY
Oversea Restaurant,Oversea Restaurant,restaurant,3.1043199,101.6401656,MY
Old Town,Old Town,cafe,3.133234,101.6890616,MY
Sam yu,Sam yu,restaurant,3.0975832,101.6128861,MY
Restoran Al-Azur,Restoran Al-Azur,restaurant,3.20135,101.6197538,MY
Perodua,Perodua,car,3.2016792,101.6193267,MY
Restoran Ah Niu,Restoran Ah Niu,restaurant,3.2026503,101.617991,MY
Wet Market,Wet Market,kiosk,3.2021131,101.6186974,MY
Restoran Noodle Time,Restoran Noodle Time,restaurant,3.0839604,101.6822613,MY
Happy Cafe,Happy Cafe,restaurant,3.0833246,101.6807499,MY
MR.DIY,MR.DIY,doityourself,3.07459,101.6488699,MY
Kedai Makanan Pasifik,Kedai Makanan Pasifik,restaurant,3.0731549,101.6532117,MY
M Jaya Motor Enterprise,M Jaya Motor Enterprise,motorcycle,3.075145,101.6460183,MY
Kedai Makanan & Minuman Manja,Kedai Makanan & Minuman Manja,restaurant,3.0743169,101.6459606,MY
Toyota,Toyota,car,3.0418338,101.6191423,MY
Peugeot,Peugeot,car,3.0421231,101.6180479,MY
Nissan,Nissan,car,3.0376447,101.6170072,MY
Toys R Us,Toys R Us,toys,3.0439444,101.6181445,MY
Hailam Kopitiam,Hailam Kopitiam,cafe,3.0589865,101.6736925,MY
Pasaraya AJ,Pasaraya AJ,convenience,3.0615315,101.7437161,MY
Restoran Choong Kee Kampar Claypot Rice,Restoran Choong Kee Kampar Claypot Rice,restaurant,3.1255683,101.6165368,MY
Nicholes Cakery & Cafe,Nicholes Cakery & Cafe,restaurant,3.1256757,101.6166011,MY
Carnaval Churrascaria Brazilian Restaurant,Carnaval Churrascaria Brazilian Restaurant,restaurant,3.1263131,101.6152386,MY
Hard Rock Cafe,Hard Rock Cafe,restaurant,3.1556171,101.7054722,MY
KTM Serdang Jetty,KTM Serdang Jetty,travel_agency,3.0238898,101.7166247,MY
Shanar Curry House,Shanar Curry House,restaurant,3.0856319,101.6587115,MY
Sun Raj Curry House,Sun Raj Curry House,restaurant,3.0862994,101.6577488,MY
Heng Kee Bak Kut Teh,Heng Kee Bak Kut Teh,restaurant,3.0855632,101.6469017,MY
House of Fishball,House of Fishball,restaurant,3.0860427,101.6494954,MY
Watsons,Watsons,chemist,3.086761,101.6471025,MY
Petaling Store,Petaling Store,convenience,3.0858467,101.6576346,MY
Sam You,Sam You,restaurant,3.0992738,101.6465686,MY
Restoran Kapitan,Restoran Kapitan,restaurant,3.098781,101.6447566,MY
Kedai Gunting Rambut Art,Kedai Gunting Rambut Art,hairdresser,3.0994043,101.6437416,MY
Pizza Hut,Pizza Hut,restaurant,3.099092,101.6465745,MY
Tong Woh Enterprise,Tong Woh Enterprise,supermarket,3.0996955,101.6455299,MY
Cristang,Cristang,restaurant,3.1005907,101.6400402,MY
Raju,Raju,restaurant,3.1015806,101.6537986,MY
Sri Paandi Gasing,Sri Paandi Gasing,restaurant,3.1019623,101.6534458,MY
SMB Frozen Food Sdn Bhd,SMB Frozen Food Sdn Bhd,supermarket,3.0865897,101.6413154,MY
Jaleel 24hrs Teh Tarik,Jaleel 24hrs Teh Tarik,cafe,3.0989356,101.6403888,MY
Devi's Corner,Devi's Corner,restaurant,3.0866232,101.6554081,MY
Kings Hairdresser Saloon,Kings Hairdresser Saloon,hairdresser,3.0867906,101.6554517,MY
Bangkok Tom Yam,Bangkok Tom Yam,restaurant,3.0864142,101.6456887,MY
PJ Baru,PJ Baru,restaurant,3.0995808,101.6433605,MY
99 Speedmart,99 Speedmart,supermarket,3.0868993,101.6630267,MY
Thai Corner,Thai Corner,restaurant,3.0983025,101.6461107,MY
Cosway,Cosway,chemist,3.0982789,101.6456243,MY
Magic 1,Magic 1,restaurant,3.0986194,101.6440444,MY
Su Fes,Su Fes,books,3.0860482,101.657675,MY
Yasin Curry House,Yasin Curry House,restaurant,3.0874794,101.6636043,MY
Dobitiam,Dobitiam,laundry,3.0870546,101.6635861,MY
Lotus Barbershop,Lotus Barbershop,hairdresser,3.0870171,101.6634903,MY
Ming Yang Kopitiam,Ming Yang Kopitiam,restaurant,3.0869009,101.6488541,MY
Kedai Basikal Foo Hing,Foo Hing Bicycle Shop,bicycle,3.0865564,101.6458148,MY
Tayaria,Tayaria,car_repair,3.0871155,101.6410599,MY
Pork section PJ Old Town Wet Market,Pork section PJ Old Town Wet Market,butcher,3.0875353,101.6448056,MY
Bala Saloon,Bala Saloon,hairdresser,3.097903,101.6460796,MY
Perodua Showroom,Perodua Showroom,car,3.0978806,101.6451817,MY
Guardian,Guardian,chemist,3.0987814,101.6449685,MY
Strawberry Fields,Strawberry Fields,restaurant,3.0991041,101.6445025,MY
Saravanaa Bhavan,Saravanaa Bhavan,restaurant,3.0999116,101.6442768,MY
Al-Unnaz Nasi Kandar,Al-Unnaz Nasi Kandar,restaurant,3.0989024,101.6465728,MY
Najmeer Curry House,Najmeer Curry House,restaurant,3.0987466,101.6453795,MY
Poh Kong,Poh Kong,jewelry,3.1000755,101.6453911,MY
Restoran Satellite Chicken Rice,Restoran Satellite Chicken Rice,restaurant,3.106785,101.6535668,MY
Kanna Curry House,Kanna Curry House,restaurant,3.1069773,101.6534704,MY
PJ Hills 24 Hours,PJ Hills 24 Hours,restaurant,3.1109087,101.6488476,MY
Kedai Emas Kim Tee,Kedai Emas Kim Tee,jewelry,3.0864641,101.6488899,MY
Kok Aquarium,Kok Aquarium,pet,3.0862549,101.6460835,MY
Buy And Sell (BST),Buy And Sell (BST),second_hand,3.0982757,101.6455369,MY
Studio Foto Starlight,Studio Foto Starlight,photo,3.0865146,101.6485317,MY
Kedai Emas Poh Sin,Poh Sin Jewellery,jewelry,3.0867294,101.6473619,MY
L&W,L&W,copyshop,3.0987762,101.6458986,MY
Chien Yiet Hardware,Chien Yiet Hardware,paint,3.0987739,101.6461975,MY
Old Town Nasi Kandar,Old Town Nasi Kandar,restaurant,3.086547,101.6483139,MY
My One Shop,My One Shop,gift,3.0864152,101.6494699,MY
Jin Xuan Hong Kong,Jin Xuan Hong Kong,restaurant,3.0856675,101.6463567,MY
Ming Kee Bak Kut Teh,Ming Kee Bak Kut Teh,restaurant,3.0864654,101.6461737,MY
Pasaraya Wai Hong,Pasaraya Wai Hong,convenience,3.0866047,101.6464606,MY
Sang Hup Hardware,Sang Hup Hardware,paint,3.0869169,101.6486937,MY
Raikhan Nasi Kandar,Raikhan Nasi Kandar,restaurant,3.0867292,101.6461167,MY
Restoran Sahabudin,Restoran Sahabudin,restaurant,3.0868939,101.6460483,MY
Bata,Bata,shoes,3.0869857,101.64825,MY
Pat Seong Liquor Store,Pat Seong Liquor Store,alcohol,3.086432,101.6490425,MY
Ar-Rahnu,Ar-Rahnu,pawnbroker,3.086908,101.6487621,MY
Lotus,Lotus,restaurant,3.0949856,101.6513499,MY
FamilyMart,FamilyMart,convenience,3.1046284,101.6467993,MY
CleanPro Express,CleanPro Express,laundry,3.0978658,101.6456673,MY
Neu Vegetarian Restaurant,Neu Vegetarian Restaurant,restaurant,3.0989032,101.6458277,MY
Restoran Win Heng Seng,Restoran Win Heng Seng,restaurant,3.1454922,101.7150729,MY
Hai Kah Kia,Hai Kah Kia,restaurant,3.1454249,101.714994,MY
Kawajun Locks Trading,Kawajun Locks Trading,yes,3.1454597,101.7150233,MY
Roystar Travel & Tours,Roystar Travel & Tours,travel_agency,3.1452984,101.714839,MY
CK Music,CK Music,music,3.1442512,101.7135944,MY
Loong Kee,Loong Kee,deli,3.1444494,101.713825,MY
Trans Star Travel,Trans Star Travel,travel_agency,3.1444119,101.7137848,MY
Steam Era Seafood Steamboat Restaurant,Steam Era Seafood Steamboat Restaurant,restaurant,3.1445994,101.7140074,MY
Kedai Dobi Clean Pro,Kedai Dobi Clean Pro,laundry,3.1443583,101.713699,MY
Sieg,Sieg,hairdresser,3.1442084,101.7135354,MY
Chen Jiu Ru,Chen Jiu Ru,restaurant,3.1443449,101.7131357,MY
Restoran Chef Rasa Sayang,Restoran Chef Rasa Sayang,restaurant,3.144977,101.7139645,MY
Restoran Oversea,Restoran Oversea,restaurant,3.1445976,101.7134509,MY
Australian Confectionery,Australian Confectionery,confectionery,3.1442753,101.7130311,MY
Restoran Fong Lye,Restoran Fong Lye,restaurant,3.1447145,101.7135756,MY
Pure Mind Vegetarian Restaurant,Pure Mind Vegetarian Restaurant,restaurant,3.14491,101.7138438,MY
YS Dobi,YS Dobi,laundry,3.1447413,101.71364,MY
Honda,Honda,car,3.1459505,101.7152989,MY
DH Nyonya Cafe,DH Nyonya Cafe,cafe,3.1003925,101.6398823,MY
Restoran Gem,Restoran Gem,restaurant,3.0945597,101.6513579,MY
U Cafe,U Cafe,cafe,3.1450096,101.7114796,MY
Tealive,Tealive,cafe,3.1453167,101.7111404,MY
Stoked,Stoked,restaurant,3.1401482,101.6576488,MY
