name,name_en,service_type,lat,lng,country_code
Christine Sports Cycle Marketing,Christine Sports Cycle Marketing,bicycle,14.5522371,120.9950633,PH
G and K wine,G and K wine,alcohol,14.5528536,120.9926673,PH
The Bike Room,The Bike Room,bicycle,14.5507606,120.9955894,PH
Harry's Liquor Mart,Harry's Liquor Mart,alcohol,14.5534762,120.9925761,PH
Liana's Supermarket,Liana's Supermarket,supermarket,14.5474077,120.9958981,PH
Cartimar Orchid Center,Cartimar Orchid Center,garden_centre,14.5514287,120.9970044,PH
Wine Specialist,Wine Specialist,beverages,14.5536215,120.99367,PH
Ross Cycle Center,Ross Cycle Center,bicycle,14.5509943,120.9952098,PH
Byke Cyti,Byke Cyti,bicycle,14.5510559,120.9951904,PH
Kamakura Japanese Restaurant,Kamakura Japanese Restaurant,restaurant,14.5532842,120.995001,PH
Max's,Max's,restaurant,14.5326796,120.9936211,PH
Starbucks,Starbucks,cafe,14.5472631,121.0349809,PH
Madonna's Cuisine,Madonna's Cuisine,cafe,14.5384516,120.994311,PH
Shakey's,Shakey's,restaurant,14.5230946,121.0005663,PH
Philippine Airlines Domestic Road Ticket Office,Philippine Airlines Domestic Road Ticket Office,ticket,14.5266105,121.0001207,PH
Conrad's Grille,Conrad's Grille,restaurant,14.5264633,120.999684,PH
SaveMore Market,SaveMore Market,supermarket,14.5379101,120.9999971,PH
Air Philippines Express Ticket Office,Air Philippines Express Ticket Office,ticket,14.5244431,121.0004421,PH
Red Ribbon,Kuya-J,bakery,14.5351406,120.9934461,PH
Chowking,Chowking,restaurant,14.5309775,120.9936733,PH
Fish Market,Fish Market,seafood,14.5462847,120.9882571,PH
Spiral,Spiral,restaurant,14.5530715,120.980442,PH
Rustan's Fresh Market,Rustan's Fresh Market,supermarket,14.536142,121.0185959,PH
7-Eleven,7-Eleven,convenience,14.5547968,121.0448502,PH
Phò Bac,Phò Bac,restaurant,14.5539473,121.0479247,PH
Zhu,Zhu,restaurant,14.5539752,121.048378,PH
Pancake House,Pancake House,restaurant,14.5511979,121.0498801,PH
Johnny B. Good,Johnny B. Good,restaurant,14.5523564,121.0256573,PH
L' Incontro,L' Incontro,restaurant,14.5656627,121.0234328,PH
Esperanza Flowers,Esperanza Flowers,florist,14.5564209,121.013191,PH
Internet 168,Internet 168,internet_cafe,14.5631601,121.0284499,PH
Chihuahua,Chihuahua,restaurant,14.5517598,121.0204948,PH
Coffee Bean & Tea Leaf,Coffee Bean & Tea Leaf,cafe,14.5652004,121.0365121,PH
Bacolod Chicken Inasal,Bacolod Chicken Inasal,restaurant,14.5772313,120.9843217,PH
Opple Lighting Showroom,Opple Lighting Showroom,lighting,14.6577587,121.005628,PH
Isetann,Isetann,mall,14.6228453,121.0536282,PH
Rocha's,Rocha's,restaurant,14.6475521,121.0645905,PH
Goodyear Servitek,Goodyear Servitek,car_repair,14.6083341,121.016877,PH
Mabuhay Textile Market,Mabuhay Textile Market,fabric,14.6055603,120.9673216,PH
Texas Roadhouse Grill,Texas Roadhouse Grill,restaurant,14.5506953,121.0498979,PH
Cafe Apassionato,Cafe Apassionato,bakery,14.56491,121.023048,PH
Pho 24,Pho 24,restaurant,14.5646374,121.0363767,PH
