name,name_en,service_type,lat,lng,country_code
Hippo Tours,Hippo Tours,ticket,1.2936483,103.8565943,SG
SPC,SPC,fuel,1.3232062,103.8193298,SG
Jumbo Seafood,Jumbo Seafood,restaurant,1.2892592,103.8482726,SG
NTUC FairPrice Finest,NTUC FairPrice Finest,supermarket,1.3014954,103.839658,SG
Hooters,Hooters,restaurant,1.2899587,103.8458766,SG
Tiong Bahru Bakery,Tiong Bahru Bakery,cafe,1.3013209,103.8400063,SG
Red ahous,Red ahous,restaurant,1.2999047,103.8499576,SG
Takashimaya,Takashimaya,department_store,1.3025211,103.8353202,SG
Como Cuisine,Como Cuisine,restaurant,1.3058557,103.8105878,SG
Jumbo Seafood @ Dempsey,Jumbo Seafood @ Dempsey,restaurant,1.3043031,103.8099818,SG
Margarita's,Margarita's,restaurant,1.3039505,103.8102061,SG
PS cafe,PS cafe,cafe,1.3047042,103.8110709,SG
Pearl of India,Pearl of India,restaurant,1.3108481,103.8352923,SG
Roia,Roia,restaurant,1.3149885,103.8153732,SG
Liad Fan Hong Kong Soy Sauce Chicken Rice & Noodle,Liad Fan Hong Kong Soy Sauce Chicken Rice & Noodle,restaurant,1.2819879,103.8432653,SG
People's Park Food Centre Blk 32,People's Park Food Centre Blk 32,restaurant,1.284959,103.8425704,SG
Mixue,Mixue,cafe,1.3003144,103.8552471,SG
Cold Storage Fresh,Cold Storage Fresh,supermarket,1.3001235,103.8560555,SG
Mandarin Gallery,Mandarin Gallery,convenience,1.3020303,103.8366424,SG
NTUC FairPrice,NTUC FairPrice,supermarket,1.2925348,103.8113068,SG
7-Eleven,7-Eleven,convenience,1.3001872,103.8522224,SG
Empress Road Food Centre,Empress Road Food Centre,restaurant,1.3161183,103.8054965,SG
La Villa,La Villa,restaurant,1.2956087,103.8335603,SG
Boon Tong Kee 文東記,Boon Tong Kee,restaurant,1.2951492,103.8294198,SG
Siam Society,Siam Society,restaurant,1.3475169,103.867461,SG
Coffee Shops,Coffee Shops,cafe,1.3066948,103.8003488,SG
Shahi Maharaja,Shahi Maharaja,restaurant,1.2868595,103.8494116,SG
Pines Cafe,Pines Cafe,cafe,1.3344354,103.8427357,SG
Foods Treasure,Foods Treasure,restaurant,1.3353326,103.8448031,SG
Starbucks,Starbucks,cafe,1.3064544,103.8324156,SG
Coffee Club,Coffee Club,cafe,1.3050836,103.8312388,SG
Justin Flavours of Asia,Justin Flavours of Asia,restaurant,1.2833026,103.8582884,SG
Good Old Days,Good Old Days,restaurant,1.2516796,103.8172719,SG
Fun Shop Beach Plaza,Fun Shop Beach Plaza,gift,1.2516461,103.8170666,SG
The Coffee Bean & Tea Leaf,The Coffee Bean & Tea Leaf,cafe,1.2512356,103.8177296,SG
Lorong 4 Blk 93 Market and Hawker Centre,Lorong 4 Blk 93 Market and Hawker Centre,restaurant,1.338447,103.84944,SG
Hongdae Korean BBQ,Hongdae Korean BBQ,restaurant,1.2790473,103.841753,SG
Cheers,Cheers,convenience,1.2834881,103.8348084,SG
No Signboard Seafood Restaurant,No Signboard Seafood Restaurant,restaurant,1.289084,103.8556767,SG
Mama shop,Mama shop,convenience,1.3206824,103.8537683,SG
Natureland,Natureland,massage,1.3017309,103.8404356,SG
ACE Marketplace,ACE Marketplace,supermarket,1.2777764,103.8310198,SG
Crystal Cafe,Crystal Cafe,restaurant,1.2976221,103.8384714,SG
Saveur,Saveur,restaurant,1.296729,103.854991,SG
Thai Royal Cuisine,Thai Royal Cuisine,restaurant,1.3345564,103.8099494,SG
Su Shi Piao Xiang Vegetarian Food (素食飄香),Su Shi Piao Xiang Vegetarian Food,restaurant,1.3000559,103.8524194,SG
Shunjuu Izakaya,Shunjuu Izakaya,restaurant,1.2910861,103.8409947,SG
Singapore Zam Zam Murtabak,Zam Zam Singapore,restaurant,1.3022755,103.858542,SG
Long Bar Steak House,Long Bar Steak House,restaurant,1.2953788,103.8536013,SG
Shell,Shell,fuel,1.2974825,103.8033958,SG
Tanjong Pagar Food Centre,Tanjong Pagar Food Centre,restaurant,1.2765516,103.8430933,SG
China Square Food Court,China Square Food Court,restaurant,1.2828473,103.8493041,SG
Telok Blangah Rise Food Centre,Telok Blangah Rise Food Centre,restaurant,1.2724085,103.8220441,SG
Jalan Bukit Merah Food Centre,Jalan Bukit Merah Food Centre,restaurant,1.2799986,103.8260191,SG
Seafood,Seafood,restaurant,1.2814319,103.8232287,SG
TungLok Seafood,TungLok Seafood,restaurant,1.284366,103.8654257,SG
Marguerite,Marguerite,restaurant,1.2848639,103.8640308,SG
Visitor Services Centre,Visitor Services Centre,ticket,1.283827,103.8655449,SG
Gift shop,Gift shop,convenience,1.2842153,103.8655352,SG
Barrage Cove,Barrage Cove,convenience,1.28028,103.8705782,SG
Yum Cha Chinatown,Yum Cha Chinatown,restaurant,1.2829189,103.8439174,SG
Hong Lim Food Centre,Hong Lim Food Centre,restaurant,1.2852802,103.8459808,SG
Cold Storage,Cold Storage,supermarket,1.3010098,103.8450553,SG
Isetan,Isetan,department_store,1.3055893,103.8316799,SG
Metro,Metro,department_store,1.3040319,103.8359709,SG
Tangs,Tangs,department_store,1.3047546,103.8330692,SG
Waikiki Dive,Waikiki Dive,scuba_diving,1.3044871,103.8612627,SG
Fusion Spoon,Fusion Spoon,restaurant,1.3077804,103.818364,SG
Sakunthala's,Sakunthala's,restaurant,1.3092868,103.8557553,SG
Aziza Silk House Pte Ltd,Aziza Silk House Pte Ltd,fabric,1.3012893,103.8590037,SG
Marks & Spencer,Marks & Spencer,department_store,1.3008258,103.8452495,SG
Toys R Us,Toys R Us,toys,1.3040735,103.8358819,SG
Toys'R'Us,Toys'R'Us,toys,1.3175958,103.8434796,SG
OG People's Park,OG People's Park,department_store,1.2851945,103.8431612,SG
OG,OG,department_store,1.3021872,103.8539002,SG
Yue Hwa,Yue Hwa,department_store,1.2849331,103.8435035,SG
Mega Discount,Mega Discount,electronics,1.3020765,103.8770098,SG
