name,name_en,service_type,lat,lng,country_code
Manna,Manna,restaurant,13.7477023,100.5345542,TH
Factory Outlet,Factory Outlet,clothes,13.7208628,100.5682253,TH
7-Eleven,7-Eleven,convenience,13.6512018,100.4876955,TH
Shell,Shell,fuel,13.7185734,100.5673621,TH
Zen,Zen,restaurant,13.7281063,100.5331414,TH
Pola Pola,Pola Pola,cafe,13.7272399,100.5335418,TH
Cafe Bangrak,Cafe Bangrak,cafe,13.7289158,100.5355833,TH
Mimy's,Mimy's,cafe,13.7272956,100.5364037,TH
Zanotti,Zanotti,restaurant,13.7268964,100.5367763,TH
Cafe Turin,Cafe Turin,cafe,13.7269174,100.5370033,TH
The Front Page,The Front Page,restaurant,13.7269776,100.5416951,TH
Cafe D'Oro,Cafe D'Oro,cafe,13.7253756,100.537783,TH
4x4,4x4,restaurant,13.6512144,100.4862942,TH
Lotus's go fresh,Lotus's go fresh,convenience,13.6513086,100.4873663,TH
Best Salon,Best Salon,hairdresser,13.6511372,100.4879754,TH
Bell Cafe,Bell Cafe,cafe,13.6513812,100.4869036,TH
Smiths Bar,Smiths Bar,restaurant,13.7585554,100.4959363,TH
สยามแก๊ส,Siam Gas,fuel,13.6827546,100.6106115,TH
Esso,Esso,fuel,13.6688926,100.6321353,TH
Sirocco,Sirocco,restaurant,13.7212917,100.5168726,TH
ศูนย์หนังสือจุฬาฯ,Chula Book Centre,books,13.7435713,100.5329509,TH
Susco,Susco,fuel,13.6900797,100.6703176,TH
S&P,S&P,restaurant,13.6874299,100.6608332,TH
กัลปพฤกษ์,Kallapaphruek,restaurant,13.7226497,100.5220688,TH
ร้านค้าสหกรณ์จุฬาฯ,Chulalongkorn University Cooperative Store,convenience,13.7353276,100.5314409,TH
มิซาโตะ,มิซาโตะ,restaurant,13.7300628,100.5340962,TH
Sathorn Framing,Sathorn Framing,furniture,13.7196811,100.5264239,TH
Panasonic service centre,Panasonic service centre,electronics,13.711278,100.53103,TH
Bike Shop,Bike Shop,bicycle,13.7062683,100.527506,TH
Lotus Express,Lotus Express,convenience,13.8180041,100.6657889,TH
Tops,Tops,supermarket,13.668235,100.6828432,TH
Ronny's New York Pizza,Ronny's New York Pizza,restaurant,13.7386706,100.5529521,TH
บะหมี่นายดำ,บะหมี่นายดำ,restaurant,13.7119996,100.6066815,TH
Hemlock,Hemlock,restaurant,13.7619476,100.4934922,TH
Turbo Bicycle,bangna Bicycle,bicycle,13.6782413,100.6086622,TH
เป็ดท่าดินแดง,Ped Tah Din Dang,restaurant,13.8018073,100.5815635,TH
Cabbages & Condoms,Cabbages & Condoms,restaurant,13.7364794,100.557891,TH
กินรี เวนิว,Kinaree Venue,restaurant,13.7379539,100.5562983,TH
Tsu Nami,Tsu Nami,toys,13.7423469,100.5519642,TH
The Family,The Family,restaurant,13.7601131,100.5027895,TH
Tops Daily,Tops Daily,convenience,13.7163905,100.5898192,TH
FBT Sport Complex,FBT Sport Complex,sports,13.7606247,100.624751,TH
บาร์คณะประมง,บาร์คณะประมง,restaurant,13.8552919,100.5698924,TH
ราดหน้า,ราดหน้า,convenience,13.8603841,100.5510824,TH
อาหารตามสั่ง,อาหารตามสั่ง,doityourself,13.8600195,100.5518227,TH
ผัดไท,ผัดไท,restaurant,13.86003,100.5520373,TH
ก๋วยเตี๋ยวเรืออยุธยา,ก๋วยเตี๋ยวเรืออยุธยา,restaurant,13.8695817,100.5534106,TH
The Corner,The Corner,restaurant,13.8701025,100.5563074,TH
Cafe dot Com,Cafe dot Com,cafe,13.8459913,100.5687077,TH
