name,name_en,service_type,lat,lng,country_code
Steinway Auto Repairs,Steinway Auto Repairs,car_repair,40.7707762,-73.9083348,US
The Brass Rail,The Brass Rail,restaurant,40.7385968,-74.0303486,US
Modell's Sporting Goods,Modell's Sporting Goods,sports,40.7307061,-74.0352746,US
Staples,Staples,stationery,40.7306714,-74.034875,US
Court Street,Court Street,restaurant,40.7433179,-74.0285824,US
Sam Sunny,Sam Sunny,restaurant,40.7415576,-73.9784628,US
Hee-Space Thrift Shop,Hee-Space Thrift Shop,charity,40.6611011,-73.953359,US
The First Stop Deli Grocery,The First Stop Deli Grocery,convenience,40.645825,-74.0169726,US
New Blondie,New Blondie,convenience,40.651682,-73.9755124,US
Alnoor Boutique,Alnoor Boutique,clothes,40.6900102,-73.9929109,US
SVA Campus Store,SVA Campus Store,gift,40.7387161,-73.9824733,US
Porta Bella,Porta Bella,clothes,40.6437244,-74.0115417,US
Barnes & Noble,Barnes & Noble,books,40.7369258,-73.9896011,US
Knolls Shopping Center,Knolls Shopping Center,mall,40.8786111,-73.9172222,US
Dahesh Museum of Art Gift Shop and Offices,Dahesh Museum of Art Gift Shop and Offices,gift,40.7250957,-74.0049076,US
Pedro's,Pedro's,restaurant,40.7025316,-73.9865653,US
Trudy's Ice Cream,Trudy's Ice Cream,restaurant,40.8003773,-73.9618056,US
Everything Goes Book Cafe,Everything Goes Book Cafe,books,40.636934,-74.076656,US
Talay Thai Restaurant,Talay Thai Restaurant,restaurant,40.6424804,-74.0766747,US
Boutros,Boutros,restaurant,40.6901687,-73.9934852,US
Bubo,Bubo,restaurant,40.7460362,-73.9776676,US
Little Alley,Little Alley,restaurant,40.7473845,-73.9771526,US
Waverly Urban Market,Waverly Urban Market,supermarket,40.6870366,-73.9664572,US
Mocha Hookah,Mocha Hookah,cafe,40.6901914,-73.9935675,US
Los Castillos,Los Castillos,convenience,40.6506127,-74.0048114,US
Dellapietras,Dellapietras,butcher,40.6900737,-73.993141,US
Market Carniceria,Market Carniceria,greengrocer,40.6505269,-74.0048997,US
Galaxy Wireless & Gift Shop,Galaxy Wireless & Gift Shop,variety_store,40.6501044,-74.0053551,US
Mikado,Mikado,restaurant,40.6902604,-73.9938187,US
Random Accessories,Random Accessories,gift,40.7266107,-73.9901732,US
Waverly Candy & Deli,Waverly Candy & Deli,convenience,40.6876443,-73.9665931,US
Duman Home,Duman Home,linen,40.6867678,-73.9936023,US
Dazzle Beauty Salon,Dazzle Beauty Salon,hairdresser,40.7486989,-73.9761859,US
Green Dry Cleaners,Green Dry Cleaners,dry_cleaning,40.6867609,-73.966438,US
M & A Design,M & A Design,window_blind,40.7029965,-73.9874746,US
The Hidden Rose,The Hidden Rose,tattoo,40.7272676,-73.9903739,US
The Musket Room,The Musket Room,restaurant,40.7239188,-73.9937813,US
Ferreteria Hardware,Ferreteria Hardware,hardware,40.6500594,-74.0053992,US
Metro by T-Mobile,Metro by T-Mobile,mobile_phone,40.6702594,-73.9506186,US
Cricket Wireless,Cricket Wireless,mobile_phone,40.715726,-73.9990159,US
Nail One,Nail One,beauty,40.7486672,-73.9762129,US
Charming Nails,Charming Nails,beauty,40.6876868,-73.9666017,US
Blank Street Coffee,Blank Street Coffee,cafe,40.6872881,-73.9753082,US
Almonte Casual,Almonte Casual,beauty,40.6510107,-74.0036926,US
A+ Skincare & Lash,A+ Skincare & Lash,beauty,40.6900874,-73.9961748,US
Craft + Carry,Craft + Carry,beverages,40.7435659,-73.9799283,US
My Favorite Cleaners & Laundry,My Favorite Cleaners & Laundry,dry_cleaning,40.6897993,-73.9936179,US
Hoops Deli Grocery,Hoops Deli Grocery,convenience,40.6453921,-74.0094856,US
Fu Kang Reflexology,Fu Kang Reflexology,massage,40.7160717,-73.9994196,US
Elegant Decorations,Elegant Decorations,party,40.6500204,-74.0054467,US
Nha Trang One,Nha Trang One,restaurant,40.7167899,-73.9996711,US
Lenox Coffee,Lenox Coffee,cafe,40.810011,-73.9431823,US
Arté Salon,Arté Salon,hairdresser,40.724848,-73.9931701,US
Mi,Mi,restaurant,40.7461325,-73.9775916,US
Damascus Bread & Bakery,Damascus Bread & Bakery,bakery,40.69005,-73.9930552,US
142 Expressway Laundromat,142 Expressway Laundromat,laundry,40.690273,-73.9951007,US
Dar-Us-Salam Bookstore,Dar-Us-Salam Bookstore,books,40.6857118,-73.9821364,US
NY Eden Spa,NY Eden Spa,massage,40.7539832,-73.9686085,US
Zum Stammtisch,Zum Stammtisch,restaurant,40.7018175,-73.8811268,US
Franks Bike Shop,Franks Bike Shop,bicycle,40.7139378,-73.9803505,US
Lake Pavilion,Lake Pavilion,restaurant,40.7426161,-73.8248756,US
Happy Garden Restaurant,Happy Garden Restaurant,restaurant,40.7430063,-73.825794,US
Yong Fa,Yong Fa,supermarket,40.743429,-73.8253477,US
BP,BP,fuel,40.7393645,-73.8147562,US
New World Mall,New World Mall,department_store,40.7595986,-73.8291313,US
Mugs Ale House,Mugs Ale House,restaurant,40.7194991,-73.9557619,US
Southside Coffee,Southside Coffee,cafe,40.6611342,-73.9902727,US
Park Natural Foods,Park Natural Foods,health_food,40.6822674,-73.9961167,US
Starbucks,Starbucks,cafe,40.7032771,-74.0141339,US
Cafe Delecctica,Cafe Delecctica,cafe,40.7481687,-73.9766084,US
The Inwood Farm,The Inwood Farm,restaurant,40.8727992,-73.918421,US
Garden Café,Garden Café,restaurant,40.8681188,-73.9204207,US
KMart,KMart,convenience,40.8252655,-73.8566272,US
Aron's Kissena Farms,Aron's Kissena Farms,supermarket,40.7284202,-73.8141144,US
Le Monde,Le Monde,restaurant,40.8057782,-73.9658657,US
Whole Foods Market,Whole Foods Market,supermarket,40.7347925,-73.9913589,US
Walgreens,Walgreens,chemist,40.7404986,-73.9864967,US
Buttermilk Bakeshop,Buttermilk Bakeshop,pastry,40.6693598,-73.9929679,US
The Meat Hook,The Meat Hook,butcher,40.7176379,-73.9477702,US
One Love Deli,One Love Deli,convenience,40.7146404,-73.9445688,US
Wholesome Basket,Wholesome Basket,convenience,40.7146787,-73.944223,US
Late Night Deli,Late Night Deli,deli,40.714701,-73.9388646,US
C-Town,C-Town,supermarket,40.7143904,-73.9441049,US
Carmine's Pizzeria,Carmine's Pizzeria,restaurant,40.714968,-73.9443016,US
El Loco Burrito,El Loco Burrito,restaurant,40.7148102,-73.9445968,US
Tony's Pizza,Tony's Pizza,restaurant,40.7150542,-73.9446372,US
East Met West,East Met West,restaurant,40.714447,-73.9439212,US
Il Passatore,Il Passatore,restaurant,40.7143441,-73.9420637,US
Columbia University Bookstore,Columbia University Bookstore,books,40.8071007,-73.9641277,US
Sarah James,Sarah James,restaurant,40.6932477,-73.9425684,US
Hard Rock Cafe,Hard Rock Cafe,restaurant,40.756994,-73.9865512,US
Carbone,Carbone,restaurant,40.7554192,-73.9930152,US
Freemans,Freemans,restaurant,40.7219891,-73.9924423,US
Aurora,Aurora,restaurant,40.7156935,-73.9647329,US
Best Bagel & Coffee,Best Bagel & Coffee,cafe,40.7522171,-73.9911323,US
Toasties,Toasties,cafe,40.757084,-73.977893,US
Lululemon,Lululemon,clothes,40.7572492,-73.9784073,US
Audi,Audi,car,40.755224,-73.97568,US
H&M,H&M,clothes,40.7535383,-73.9805923,US
Zara,Zara,clothes,40.7537116,-73.9809753,US
Zales,Zales,jewelry,40.750696,-73.982649,US
Sephora,Sephora,cosmetics,40.75005,-73.9888498,US
Tick Tock Diner,Tick Tock Diner,restaurant,40.7524435,-73.9935503,US
Giovanni,Giovanni,restaurant,40.779131,-73.960536,US
Schweitzer Linen,Schweitzer Linen,furniture,40.778723,-73.960194,US
City Market Cafe,City Market Cafe,cafe,40.7786106,-73.9606629,US
NY Camera & Electronics Corporation,NY Camera & Electronics Corporation,electronics,40.7526109,-73.9929161,US
9th St Espresso,9th St Espresso,cafe,40.725087,-73.9777631,US
Brooklyn Kitchen,Brooklyn Kitchen,doityourself,40.7176668,-73.9476862,US
The Good Fork,The Good Fork,restaurant,40.6759784,-74.0142976,US
Fine Fare,Fine Fare,supermarket,40.8555109,-73.9294503,US
Vinegar Hill House,Vinegar Hill House,restaurant,40.7027578,-73.9812369,US
Bicycle Station,Bicycle Station,bicycle,40.6962889,-73.9726486,US
Westside Market,Westside Market,supermarket,40.7317446,-73.9885326,US
Green Valley Market,Green Valley Market,convenience,40.6869571,-73.9626851,US
Brooklyn Deli,Brooklyn Deli,convenience,40.6751967,-73.9564822,US
Junior's,Junior's,restaurant,40.7582151,-73.9866267,US
Diner,Diner,restaurant,40.7106766,-73.9655977,US
Marlowe And Daughters,Marlowe And Daughters,butcher,40.710211,-73.964676,US
Apple West 14th Street,Apple West 14th Street,electronics,40.7411861,-74.0054573,US
Brooklyn General Store,Brooklyn General Store,craft,40.6840922,-74.0023385,US
Exxon,Exxon,fuel,40.735199,-74.0435825,US
Valero,Valero,fuel,40.7369038,-74.0379554,US
Graziella's,Graziella's,restaurant,40.690471,-73.9694971,US
Dannee Thai,Dannee Thai,restaurant,40.6904836,-73.960039,US
Niko Coffee,Niko Coffee,cafe,40.8052757,-73.9624308,US
Legal Grounds,Legal Grounds,cafe,40.7157911,-74.0414961,US
Fuji East Restaurant,Fuji East Restaurant,restaurant,40.7590731,-73.9522681,US
Ristorante Settepani,Ristorante Settepani,restaurant,40.8043628,-73.9476425,US
Think Coffee,Think Coffee,cafe,40.7254073,-73.9923897,US
NYU Bookstore,NYU Bookstore,books,40.7292215,-73.9932385,US
Buffalo Exchange,Buffalo Exchange,clothes,40.7287947,-73.9936354,US
Rumble,Rumble,clothes,40.7283854,-73.9939823,US
Infinity Shoes,Infinity Shoes,shoes,40.7282196,-73.9946324,US
Miz Mooz,Miz Mooz,shoes,40.728098,-73.9947214,US
GameStop,GameStop,video_games,40.7280692,-73.9947451,US
Transit,Transit,athletic,40.7274147,-73.9954317,US
A Sneaker City,A Sneaker City,shoes,40.7271255,-73.995546,US
Maria Tash,Maria Tash,jewelry,40.7269718,-73.9956715,US
Juliette Restaurant,Juliette Restaurant,restaurant,40.716964,-73.959114,US
miDmuS,miDmuS,restaurant,40.717029,-73.95921,US
Senko Funeral Home,Senko Funeral Home,funeral_directors,40.7167216,-73.9586775,US
Bedford Vintage,Bedford Vintage,clothes,40.7168786,-73.9585643,US
Ako,Ako,restaurant,40.7169209,-73.9585388,US
UVA Wines and Spirits,UVA Wines and Spirits,alcohol,40.717064,-73.958209,US
Doughnut Plant,Doughnut Plant,cafe,40.7174274,-73.9583326,US
Chocolate World,Chocolate World,chocolate,40.717722,-73.957349,US
Twin Cafe,Twin Cafe,cafe,40.7149297,-74.0110479,US
Verizon,Verizon,mobile_phone,40.715043,-74.011071,US
Kaffe 1668,Kaffe 1668,cafe,40.7151714,-74.0110643,US
Pick-a-Bagel,Pick-a-Bagel,cafe,40.7145898,-74.0151484,US
Le Pain Quotidien,Le Pain Quotidien,cafe,40.7149567,-74.0094239,US
Bed Bath & Beyond,Bed Bath & Beyond,houseware,40.7158302,-74.0123025,US
Rockmeisha Izakaya,Rockmeisha Izakaya,restaurant,40.7326428,-74.002464,US
Annisa,Annisa,restaurant,40.7326055,-74.0025709,US
Super Stop & Shop,Super Stop & Shop,supermarket,40.8805852,-73.8251546,US
Jubilee Marketplace,Jubilee Marketplace,greengrocer,40.7082521,-74.0063594,US
John's of Bleecker St,John's of Bleecker St,restaurant,40.7316098,-74.0033416,US
Joe's Pizza,Joe's Pizza,restaurant,40.7305467,-74.0020629,US
Country Club Laundromat & Dry Cleaners,Country Club Laundromat & Dry Cleaners,laundry,40.8462899,-73.8195074,US
Momo Sushi,Momo Sushi,restaurant,40.7051487,-73.9333751,US
La Mexicana,La Mexicana,restaurant,40.7104365,-74.0997577,US
Vineyard Vines,Vineyard Vines,clothes,40.7688194,-73.982397,US
Strand Bookstore,Strand Bookstore,books,40.7332796,-73.9909401,US
Hummus Place,Hummus Place,restaurant,40.7322601,-74.0033462,US
Key Food,Key Food,supermarket,40.7617166,-73.9862921,US
PacSun,PacSun,clothes,40.7223219,-73.9996236,US
Extra Supermarket,Extra Supermarket,supermarket,40.7104052,-74.077189,US
Lombardi's Pizza,Lombardi's Pizza,restaurant,40.7215933,-73.9956147,US
Fairway Market,Fairway Market,supermarket,40.780745,-73.9817611,US
Cafe Social 68,Cafe Social 68,cafe,40.7246121,-73.9843772,US
Citrico Cafe & Agaveria Bar,Citrico Cafe & Agaveria Bar,cafe,40.7579727,-73.9232898,US
Empire Coffee & Tea Co.,Empire Coffee & Tea Co.,cafe,40.7413494,-74.0307015,US
Cafe Michelena,Cafe Michelena,restaurant,40.7422133,-74.0301318,US
Carlo's Bake Shop,Carlo's Bake Shop,bakery,40.7371855,-74.0307861,US
Trader Joe's,Trader Joe's,supermarket,40.7785925,-73.9822755,US
Statue of Liberty & Ellis Island Tickets,Statue of Liberty & Ellis Island Tickets,ticket,40.7035183,-74.0169254,US
Something Else On Fifth,Something Else On Fifth,clothes,40.6765885,-73.9805222,US
Brick Lane,Brick Lane,restaurant,40.7266326,-73.9893341,US
S. K. Gourmet Deli & Grocery,S. K. Gourmet Deli & Grocery,convenience,40.7266731,-73.9893048,US
Pageant Print Shop,Pageant Print Shop,art,40.7267596,-73.9905313,US
Tom's Restaurant,Tom's Restaurant,restaurant,40.8054509,-73.9654163,US
Acme Pet Food,Acme Pet Food,pet,40.6774351,-73.9691553,US
Osaka,Osaka,restaurant,40.6848533,-73.9948629,US
Leland,Leland,restaurant,40.6797196,-73.9651937,US
N & K Express Laundromat,N & K Express Laundromat,laundry,40.6737014,-73.9530752,US
Farm Fresh Deli,Farm Fresh Deli,convenience,40.6767981,-73.9634095,US
Times Up!,Times Up!,bicycle,40.710834,-73.96448,US
Urban Rustic,Urban Rustic,restaurant,40.719235,-73.9528162,US
The River Café,The River Café,restaurant,40.7037562,-73.994822,US
The Hamilon Inn,The Hamilon Inn,restaurant,40.7289956,-74.0446947,US
Basic Coffee Shop,Basic Coffee Shop,cafe,40.7266477,-74.0436947,US
Bill's Townhouse,Bill's Townhouse,restaurant,40.7601706,-73.9730036,US
Zootique,Zootique,gift,40.7672289,-73.9715817,US
Dancing Crane Cafe,Dancing Crane Cafe,cafe,40.7671831,-73.9720578,US
Uniqlo,Uniqlo,clothes,40.7235022,-73.998176,US
Leone's Pizzeria,Leone's Pizzeria,restaurant,40.7106227,-73.8651011,US
Chelsea Market,Chelsea Market,mall,40.7420513,-74.0048973,US
FedEx Office,FedEx Office,copyshop,40.7523267,-73.9942482,US
Mezcal's,Mezcal's,restaurant,40.6758313,-73.9807001,US
Shaking Crab,Shaking Crab,restaurant,40.6757312,-73.9810959,US
Tiffany & Company,Tiffany & Company,jewelry,40.7065818,-74.0100596,US
Apple Store SoHo,Apple Store SoHo,electronics,40.725039,-73.9991532,US
Four Seasons,Four Seasons,restaurant,40.7580948,-73.9720223,US
Willner Chemists,Willner Chemists,chemist,40.7514625,-73.9784858,US
Marchi's,Marchi's,restaurant,40.7431603,-73.9775799,US
Pando Park,Pando Park,restaurant,40.7449757,-73.9831065,US
Second Time Around,Second Time Around,clothes,40.7236731,-73.9946151,US
Screaming Mimi's,Screaming Mimi's,clothes,40.7276373,-73.9935441,US
Casio G Shock,Casio G Shock,ice_cream,40.7260951,-74.0007962,US
B&H Photo Video,B&H Photo Video,electronics,40.7531288,-73.9961373,US
Premium Laces,Premium Laces,shoes,40.7225835,-73.9975119,US
Barney's Co-op,Barney's Co-op,clothes,40.7413644,-73.9989975,US
Peachfrog,Peachfrog,clothes,40.7199877,-73.9568654,US
Danny Grocery,Danny Grocery,convenience,40.6762724,-73.9627506,US
Ideal Food Basket,Ideal Food Basket,supermarket,40.6761937,-73.9636498,US
D'Agostino,D'Agostino,supermarket,40.7371928,-74.0066439,US
Peas & Pickles,Peas & Pickles,supermarket,40.7026168,-73.9894421,US
Barry Gordin Hair Design,Barry Gordin Hair Design,hairdresser,40.7313263,-74.0034046,US
Smith & Wollensky,Smith & Wollensky,restaurant,40.7552548,-73.9709515,US
Elite Palace,Elite Palace,restaurant,40.7363704,-73.8954454,US
Clinton St. Baking Company,Clinton St. Baking Company,bakery,40.7211788,-73.9838832,US
Chelsea Garden Center Red Hook,Chelsea Garden Center Red Hook,garden_centre,40.675089,-74.0159065,US
Cult Gaia,Cult Gaia,clothes,40.7229924,-74.0019501,US
Suitsupply,Suitsupply,clothes,40.7221884,-74.0009428,US
J.Crew Men's Shop,J.Crew Men's Shop,clothes,40.7215489,-73.999866,US
Elevate Soho,Elevate Soho,cannabis,40.7215487,-74.0002594,US
Stromboli Pizza,Stromboli Pizza,restaurant,40.7277727,-73.985401,US
Canteen Delicatessen & Cafe,Canteen Delicatessen & Cafe,cafe,40.6825167,-73.9793167,US
Rose Deli & Grill,Rose Deli & Grill,convenience,40.6826628,-73.9797423,US
The Breslin,The Breslin,restaurant,40.7456818,-73.9881244,US
Duane Reade,Duane Reade,convenience,40.7673868,-73.9826675,US
Blue Ribbon Sushi Bar & Grill,Blue Ribbon Sushi Bar & Grill,restaurant,40.7675881,-73.9831167,US
Sushi Damo,Sushi Damo,restaurant,40.7677295,-73.9834926,US
Morton Williams,Morton Williams,supermarket,40.7688846,-73.9852324,US
RadioShack,RadioShack,electronics,40.7675765,-73.984466,US
west elm,west elm,furniture,40.7700674,-73.9817956,US
TJ Maxx,TJ Maxx,department_store,40.7663399,-73.9826892,US
USA Brooklyn Delicatessen,USA Brooklyn Delicatessen,restaurant,40.7653848,-73.980359,US
Carnegie Diner & Cafe,Carnegie Diner & Cafe,restaurant,40.765737,-73.9801162,US
Brooklyn Diner,Brooklyn Diner,restaurant,40.7656073,-73.9808744,US
Farinella,Farinella,restaurant,40.7671365,-73.9814703,US
Best Buy,Best Buy,electronics,40.7426455,-73.9926972,US
Hoy Wong Restaurant,Hoy Wong Restaurant,restaurant,40.7166141,-73.998003,US
Southside Food Plaza,Southside Food Plaza,supermarket,40.7091952,-73.9642356,US
Selini Neckwear Inc.,Selini Neckwear Inc.,clothes,40.7537134,-73.9914496,US
Angelic Rise,Angelic Rise,jewelry,40.7537052,-73.9914123,US
Lowe's,Lowe's,doityourself,40.8280177,-74.0922757,US
Chili's,Chili's,restaurant,40.8303395,-74.0897169,US
On The Run (Exxon),On The Run (Exxon),convenience,40.8284926,-74.0939307,US
17 Farmer's Market,17 Farmer's Market,greengrocer,40.824749,-74.0952637,US
Murry Hill Diner,Murry Hill Diner,restaurant,40.7459042,-73.9803026,US
Bakeri,Bakeri,bakery,40.7200059,-73.9600762,US
Europa Cafe,Europa Cafe,cafe,40.7566921,-73.9867194,US
AT&T,AT&T,mobile_phone,40.756593,-73.9867931,US
Red Lobster,Red Lobster,restaurant,40.7556031,-73.987571,US
Madison & Vine,Madison & Vine,restaurant,40.75218,-73.9795023,US
Pera,Pera,restaurant,40.7523353,-73.9793753,US
T-Mobile,T-Mobile,mobile_phone,40.7524796,-73.9793029,US
Cohen's Fashion Optical,Cohen's Fashion Optical,optician,40.7525762,-73.979134,US
LA Fonda Del Sol,LA Fonda Del Sol,restaurant,40.7532708,-73.9773865,US
ammos estiatorio,ammos estiatorio,restaurant,40.7542362,-73.977239,US
The Beer Bar Cafe Centro,The Beer Bar Cafe Centro,cafe,40.7539377,-73.9768745,US
The Capital Grille,The Capital Grille,restaurant,40.7538356,-73.9761648,US
Bath & Body Works,Bath & Body Works,cosmetics,40.7527835,-73.9748802,US
Maman,Maman,cafe,40.7523179,-73.9738176,US
Ariston Floral Boutique,Ariston Floral Boutique,florist,40.7524384,-73.9747251,US
Zucker's Bagels & Smoked Fish,Zucker's Bagels & Smoked Fish,cafe,40.750611,-73.9768239,US
Gateway News,Gateway News,convenience,40.7509934,-73.9773762,US
Bisto Marketplace,Bisto Marketplace,convenience,40.7514335,-73.9777549,US
Central Cafe,Central Cafe,cafe,40.7519302,-73.978195,US
The Heavenly Burger,The Heavenly Burger,restaurant,40.7517125,-73.9799108,US
Jack's 99c Store,Jack's 99c Store,variety_store,40.7516376,-73.980881,US
Park Avenue Liquor,Park Avenue Liquor,alcohol,40.7510771,-73.9807748,US
Yankees,Yankees,clothes,40.7498546,-73.9833154,US
Andaz,Andaz,cafe,40.7528897,-73.9811056,US
Skechers,Skechers,shoes,40.753808,-73.9804143,US
Urban Outfitters,Urban Outfitters,clothes,40.7542617,-73.9800487,US
Connolly's,Connolly's,restaurant,40.7561557,-73.9776613,US
Charles Tyrwhitt,Charles Tyrwhitt,clothes,40.7554348,-73.977162,US
JoS. A. Bank,JoS. A. Bank,clothes,40.7552783,-73.977656,US
My.Suit,My.Suit,clothes,40.7551081,-73.9778087,US
Portabella,Portabella,clothes,40.7547985,-73.9776337,US
Wafels and Dinges,Wafels and Dinges,cafe,40.7545385,-73.9840441,US
7-Eleven,7-Eleven,convenience,40.7471461,-73.9832346,US
Broadway Cafe,Broadway Cafe,cafe,40.7433913,-73.9892649,US
Hallmark,Hallmark,toys,40.7588847,-73.9751138,US
Express,Express,clothes,40.7585649,-73.9748533,US
Black Fox Coffee,Black Fox Coffee,cafe,40.7614213,-73.9738724,US
Breguet,Breguet,watches,40.7613079,-73.9749288,US
Canada Goose,Canada Goose,clothes,40.7610889,-73.9750755,US
Coach,Coach,bag,40.7608651,-73.9752575,US
Swarovski,Swarovski,jewelry,40.7610186,-73.9756542,US
St. John,St. John,clothes,40.7602252,-73.9757516,US
Versace,Versace,clothes,40.7601652,-73.976054,US
Victoria's Secret,Victoria's Secret,clothes,40.75944,-73.9768001,US
Fancy NY Grill & Deli,Fancy NY Grill & Deli,convenience,40.7228421,-73.9856712,US
American Retro Bar & Grill,American Retro Bar & Grill,restaurant,40.7650421,-73.9880624,US
L'Ecole Restaurant,L'Ecole Restaurant,restaurant,40.7208901,-74.0003925,US
Buddakan,Buddakan,restaurant,40.7421638,-74.0048429,US
Tony's,Tony's,restaurant,40.7563915,-73.9854253,US
Capital Grille at Time-Life,Capital Grille at Time-Life,restaurant,40.7607113,-73.9807687,US
Le Parker Meridien Burger,Le Parker Meridien Burger,restaurant,40.7640653,-73.9782577,US
Clever Blend,Clever Blend,cafe,40.679722,-73.9780478,US
Green Ivy,Green Ivy,supermarket,40.6767635,-73.9837557,US
Miti Miti,Miti Miti,restaurant,40.6786532,-73.979114,US
Flea,Flea,clothes,40.6761253,-73.9804812,US
Balade,Balade,restaurant,40.7302946,-73.9831042,US
Global Fresh Marketplace,Global Fresh Marketplace,supermarket,40.7240812,-73.975958,US
Russian Tea Room,Russian Tea Room,restaurant,40.7650339,-73.9793005,US
Citgo,Citgo,fuel,40.8669392,-73.922712,US
Market Diner,Market Diner,restaurant,40.7615758,-73.9973446,US
Novello Market,Novello Market,convenience,40.7465639,-73.9720417,US
Spectrum News,Spectrum News,newsagent,40.7466615,-73.9722753,US
City Barber Shop,City Barber Shop,hairdresser,40.7464992,-73.9737729,US
Clean Laundry,Clean Laundry,laundry,40.7464476,-73.9736914,US
Chevron,Chevron,fuel,34.1032728,-118.237237,US
Ralphs,Ralphs,supermarket,34.0172999,-118.4076922,US
Yokohama Sushi,Yokohama Sushi,restaurant,34.0169087,-118.4066108,US
Shell,Shell,fuel,34.1778393,-118.318237,US
Sprouts Farmers Market,Sprouts Farmers Market,supermarket,34.1869185,-118.3187822,US
Big Wang's,Big Wang's,restaurant,34.0996138,-118.3289013,US
Cafe Etc.,Cafe Etc.,restaurant,34.0998981,-118.3293304,US
Jerry's Famous Deli,Jerry's Famous Deli,restaurant,34.0770679,-118.3806155,US
Bossa Nova,Bossa Nova,restaurant,34.0832711,-118.3858713,US
Dollar Tree,Dollar Tree,variety_store,33.9735751,-118.3580275,US
Target,Target,department_store,34.1429497,-118.258652,US
99 Ranch Market,99 Ranch Market,supermarket,34.1880845,-118.465299,US
Tofu Village,Tofu Village,restaurant,34.0619072,-118.3096159,US
Danny's Bistro and Cafe,Danny's Bistro and Cafe,restaurant,33.9871321,-118.4734125,US
Harley Davidson Shop,Harley Davidson Shop,sports,33.992371,-118.4783419,US
Cafe Berlina,Cafe Berlina,cafe,34.0286219,-118.486294,US
Tehran Market,Tehran Market,supermarket,34.0273728,-118.488516,US
17th Street Cafe,17th Street Cafe,restaurant,34.0341961,-118.4924929,US
Margo's,Margo's,restaurant,34.0335274,-118.4932833,US
La La Land,La La Land,cafe,34.0327921,-118.494226,US
Via Dolce,Via Dolce,cafe,34.0327139,-118.4943378,US
Pradeep's,Pradeep's,restaurant,34.0324506,-118.4950672,US
Erin McKenna's Bakery,Erin McKenna's Bakery,bakery,34.0326285,-118.494852,US
Ingo's Tasty Diner,Ingo's Tasty Diner,vacant,34.0256586,-118.4905226,US
The Duck Blind,The Duck Blind,alcohol,34.029849,-118.4976344,US
Art's Table,Art's Table,restaurant,34.0290582,-118.4986661,US
Louise's Trattoria,Louise's Trattoria,restaurant,34.0292668,-118.4985782,US
Rosti,Rosti,restaurant,34.0291387,-118.4991961,US
Natalee Thai,Natalee Thai,restaurant,34.0226655,-118.4006804,US
Mobil,Mobil,fuel,34.0983921,-118.317663,US
Mario's Peruvian Restaurant,Mario's Peruvian Restaurant,restaurant,34.0831841,-118.3262786,US
CVS Pharmacy,CVS Pharmacy,chemist,33.9596518,-118.3968346,US
Barbara's,Barbara's,cafe,34.0645693,-118.2181096,US
Philippe The Original,Philippe The Original,restaurant,34.0596738,-118.236941,US
Cole's P.E. Buffet,Cole's P.E. Buffet,restaurant,34.0448335,-118.2495584,US
Famima,Famima,convenience,34.0520632,-118.2509637,US
Bottega Louie,Bottega Louie,restaurant,34.047039,-118.256567,US
Lili Ya,Lili Ya,restaurant,34.0511299,-118.2448967,US
Restaurant Aoi,Restaurant Aoi,restaurant,34.0499025,-118.2399704,US
Daikokuya,Daikokuya,restaurant,34.0499714,-118.2400831,US
Great Thai,Great Thai,restaurant,34.0517217,-118.2666829,US
Yard House,Yard House,restaurant,34.0449843,-118.265798,US
Drago Centro,Drago Centro,restaurant,34.051302,-118.2570963,US
Corner Bakery,Corner Bakery,cafe,34.0480163,-118.2617582,US
Ciudad,Ciudad,restaurant,34.0525962,-118.2571993,US
Wokcano,Wokcano,restaurant,34.0486901,-118.259063,US
Wolfgang Puck,Wolfgang Puck,restaurant,34.0492588,-118.2563746,US
Cafe Pinot,Cafe Pinot,restaurant,34.0511811,-118.2558175,US
Daily Grill,Daily Grill,restaurant,34.049965,-118.2573452,US
