name,name_en,service_type,lat,lng,country_code
Cửa Hàng Bánh Tôm Hồ Tây,Cua Hang Banh Tom Ho Tay,restaurant,21.0473212,105.8376261,VN
Cà Phê Cây Bàng Đổ,Ca Phe Cay Bang Do,cafe,21.0273274,105.8220368,VN
Cà Phê Kafa,Ca Phe Kafa,cafe,21.0378611,105.8010007,VN
YNOT,YNOT,interior_decoration,21.0602857,105.8307796,VN
Nhà Hàng Chay Phương Nam,Nha Hang Chay Phuong Nam,restaurant,21.0222319,105.84695,VN
Nhà hàng Nam Phương,Nha hang Nam Phuong,restaurant,21.0217552,105.8563856,VN
Nha Hang Little Italian,Nha Hang Little Italian,restaurant,21.0169539,105.852831,VN
Nha Hang Indochine,Nha Hang Indochine,restaurant,21.0265868,105.8430053,VN
Cà Phê Big One,Ca Phe Big One,cafe,21.0098613,105.8476486,VN
WinMart,WinMart,supermarket,21.0115759,105.8495236,VN
Highlands Coffee,Highlands Coffee,cafe,21.0113724,105.8495887,VN
Buffet Sen Tây Hồ,Buffet Sen Tay Ho,restaurant,21.0741493,105.8154687,VN
Trạm Xăng Dầu Số 38,Tram Xang Dau So 38,fuel,20.940679,105.732,VN
Trà Xuân Tửu,Tra Xuan Tuu,restaurant,21.0297549,105.8277638,VN
Petrolimex,Petrolimex,fuel,21.0180191,105.9431245,VN
Cây Si,Cay Si,restaurant,21.0288674,105.8431006,VN
Cửa Hàng Balô MITI,Cua Hang Balo MITI,yes,21.0051499,105.8493886,VN
Cửa Hàng Áo Cưới Quỳnh Anh,Cua Hang Ao Cuoi Quynh Anh,clothes,21.0076051,105.8512354,VN
Nhà hàng Thành Lộc,Nha hang Thanh Loc,restaurant,21.0083549,105.8567708,VN
Cà Phê Hao,Ca Phe Hao,cafe,21.041759,105.8702416,VN
Trạm xăng,Tram xang,fuel,21.003484,105.963495,VN
Cây Xăng Dốc Tam Đa,Cay Xang Doc Tam Da,fuel,21.0433351,105.8184609,VN
Cửa hàng xăng dầu số 14,Cua hang xang dau so 14,fuel,21.0441979,105.8155123,VN
Nhà Hàng Little Hanoi,Nha Hang Little Hanoi,restaurant,21.0321895,105.850937,VN
Nhà Hàng New Day,Nha Hang New Day,restaurant,21.0346545,105.853359,VN
Quán Ăn Ngon - Phan Bội Châu,Quan An Ngon,restaurant,21.0262611,105.8434161,VN
Xoi Van Anh,Xoi Van Anh,restaurant,21.033942,105.8546062,VN
Cà Phê Nola,Ca Phe Nola,cafe,21.0340721,105.8535859,VN
Sushi Hokkaido Sachi,Sushi Hokkaido Sachi,restaurant,21.0202197,105.8543053,VN
Nhà Hàng Khazaana Indian,Nha Hang Khazaana Indian,restaurant,21.0286735,105.857296,VN
Tandoor Indian Cuisine,Tandoor Indian Cuisine,restaurant,21.0335791,105.8537345,VN
The King Cafe,The King Cafe,restaurant,21.0348473,105.8515895,VN
Nhà Hàng Ladybird,Nha Hang Ladybird,restaurant,21.0357539,105.8515631,VN
Nhà Hàng Gecko,Nha Hang Gecko,restaurant,21.0348198,105.8525664,VN
Tamarind Cafe,Tamarind Cafe,restaurant,21.0341589,105.8533099,VN
Nhà Hàng Âu Lạc Brazil II,Nha Hang Au Lac Brazil II,restaurant,21.0298564,105.8409205,VN
Nhà Hàng Mediterraneo,Nha Hang Mediterraneo,restaurant,21.0288946,105.8498777,VN
Nhà Hàng Classico,Nha Hang Classico,restaurant,21.025414,105.8451399,VN
Nhà Hàng La Badiane,Nha Hang La Badiane,restaurant,21.0265884,105.8432573,VN
Nhà Hàng Hoa Sữa,Nha Hang Hoa Sua,restaurant,21.0212237,105.8474967,VN
Nhà Hàng Half Man Half Noodle,Nha Hang Half Man Half Noodle,restaurant,21.0350466,105.8530045,VN
Circle K,Circle K,convenience,21.0319823,105.8525735,VN
Cửa Hàng Xăng Dầu Quân Đội,Cua Hang Xang Dau Quan Doi,fuel,21.0379944,105.8097676,VN
Cửa Hàng Xăng Dầu Số 6,Cua Hang Xang Dau So 6,fuel,20.9520567,105.7516426,VN
CHXD số 1,CHXD so 1,fuel,21.0645151,105.8941288,VN
Cây Xăng Công Ty CP Dệt May Công Nghiệp Hà Nội,Cay Xang Cong Ty CP Det May Cong Nghiep Ha Noi,fuel,20.988518,105.8664787,VN
Trạm xăng dầu số 9 - CTXD Quân đội,Tram xang dau so 9 - CTXD Quan doi,fuel,21.0183281,105.8612833,VN
PV Oil,PV Oil,fuel,21.0441883,105.8841708,VN
Đại Lý Xăng Dầu Phú Nghĩa,Dai Ly Xang Dau Phu Nghia,fuel,20.9523573,105.751943,VN
Cà Phê AnAn,Ca Phe AnAn,cafe,21.0446359,105.8027367,VN
Pho 10,Pho 10 ly quoc su,restaurant,21.0304724,105.8488474,VN
Puku,Puku (Australian Football),restaurant,21.0294934,105.8435381,VN
Cà Phê Hồ Thanh Nhàn,Ca Phe Ho Thanh Nhan,cafe,21.005952,105.8591623,VN
Thai Village,Thai Village,restaurant,21.0320076,105.8512129,VN
Trang Anh,Trang Anh,cafe,21.0329897,105.8528307,VN
Nhà Hàng Ba Ba,Nha Hang Ba Ba,restaurant,21.0460387,105.8009777,VN
Toshi Fusion,Toshi Fusion,restaurant,21.0200182,105.8562112,VN
TopCare,TopCare,electronics,21.035431,105.791874,VN
Nhà Hàng Duy Lê Malraux,Nha Hang Duy Le Malraux,restaurant,21.0313388,105.8489482,VN
Japan Supermarket,Japan Supermarket,supermarket,21.0294273,105.8458111,VN
Siêu Thị Hapro,Sieu Thi Hapro,supermarket,21.0307067,105.8482851,VN
Son Thanh,Son Thanh,restaurant,21.0307814,105.8472039,VN
Orick Coffee,Orick Coffee,cafe,21.0242859,105.8476001,VN
Van Viet Cafe,Van Viet Cafe,cafe,21.0231794,105.8516744,VN
Nhà Hàng Yakiniku Shiki,Nha Hang Yakiniku Shiki,restaurant,21.0336059,105.8548258,VN
Shop & Go,Shop & Go,convenience,21.0293607,105.8478856,VN
Suzuki,Suzuki,car,21.0050433,105.8698406,VN
Phong Lan,Phong Lan,clothes,21.0307123,105.8474583,VN
Cà Phê Cosa Nostra,Ca Phe Cosa Nostra,cafe,21.0255087,105.8579872,VN
